ID_REF	VALUE	5455178010_A.Avg_NBEADS	5455178010_A.BEAD_STDERR	5455178010_A.Detection Pval
ILMN_1762337	111.824	24	5.172565	0.2064935
ILMN_2055271	126.907	21	8.396618	0.03896104
ILMN_1736007	91.20126	17	4.822516	0.7818182
ILMN_2383229	110.3134	18	7.833842	0.238961
ILMN_1806310	101.7956	14	4.944949	0.4727273
ILMN_1779670	96.83981	29	5.057463	0.6246753
ILMN_1653355	100.276	18	6.786763	0.5207792
ILMN_1717783	85.60416	28	3.658436	0.9051948
ILMN_1705025	107.9326	8	15.15172	0.2987013
ILMN_1814316	103.6255	33	3.04339	0.4116883
ILMN_2359168	87.90472	20	6.411659	0.8571429
ILMN_1731507	86.60846	15	5.246505	0.8883117
ILMN_1787689	88.50085	22	3.797436	0.848052
ILMN_3241953	93.6842	28	5.86248	0.7142857
ILMN_1745607	245.5827	32	11.66351	0
ILMN_2136495	83.92185	17	5.090839	0.9298701
ILMN_1668111	103.1238	24	4.420916	0.4324675
ILMN_2295559	110.9669	22	9.448238	0.2233766
ILMN_1735045	147.0416	33	6.074033	0.001298701
ILMN_1680754	107.8999	18	6.211203	0.3012987
ILMN_2375184	102.3663	21	6.910299	0.4584416
ILMN_1659452	105.5965	13	6.303425	0.3675325
ILMN_1767388	109.2514	23	6.834167	0.2727273
ILMN_1675204	88.83415	26	4.098466	0.8402597
ILMN_1673870	94.30001	25	4.133016	0.6909091
ILMN_1755321	110.4585	17	4.292767	0.2324675
ILMN_1698554	147.9231	20	8.960981	0.001298701
ILMN_1814092	147.7374	20	11.45868	0.001298701
ILMN_1760414	112.3481	24	5.898988	0.1909091
ILMN_2061446	156.2332	21	10.36992	0
ILMN_1676336	111.0523	22	6.751538	0.2220779
ILMN_1752884	101.6118	26	4.626086	0.4753247
ILMN_1660703	105.6788	22	7.50133	0.3662338
ILMN_1668851	89.63146	25	5.065991	0.8207792
ILMN_2270015	111.8922	18	8.941291	0.2051948
ILMN_1809959	99.74641	31	5.023935	0.5337662
ILMN_2357031	85.58356	17	4.16803	0.9051948
ILMN_1726986	104.9982	23	5.06893	0.3766234
ILMN_3237396	226.0259	25	9.412979	0
ILMN_1688755	99.42	21	5.636823	0.5402597
ILMN_1880387	99.7526	19	6.549111	0.5337662
ILMN_1689211	91.27455	18	5.652081	0.7779221
ILMN_1653165	294.3915	21	20.27574	0
ILMN_1729835	78.0517	13	3.218762	0.9831169
ILMN_1662364	2318.724	24	93.13229	0
ILMN_1674698	191.8737	23	13.0955	0
ILMN_1700461	314.6607	17	16.23768	0
ILMN_1784269	148.8747	16	6.669378	0.001298701
ILMN_1698189	147.7232	32	9.952714	0.001298701
ILMN_2096191	271.1551	24	15.30126	0
ILMN_1678323	116.975	21	6.891922	0.1103896
ILMN_2157219	116.0419	16	8.739123	0.1194805
ILMN_1703743	387.1812	30	15.97662	0
ILMN_1687609	141.7467	19	10.06874	0.003896104
ILMN_2068874	93.31396	18	5.338391	0.7194805
ILMN_1699334	148.0848	25	10.34839	0.001298701
ILMN_1670117	98.86542	22	3.913793	0.561039
ILMN_1805104	90.66077	21	4.462413	0.7948052
ILMN_2404407	104.6747	23	4.933175	0.3896104
ILMN_1766054	354.2477	29	12.46661	0
ILMN_1753388	118.2081	29	6.453503	0.0987013
ILMN_2070570	157.8652	22	8.883072	0
ILMN_2232084	109.2754	23	7.452456	0.2727273
ILMN_1750250	93.30246	21	6.313068	0.7194805
ILMN_2361400	82.63628	29	3.078315	0.9545454
ILMN_1704579	78.13065	27	4.357428	0.9831169
ILMN_1687636	99.08614	17	7.915331	0.5506493
ILMN_1747627	112.9442	23	8.124012	0.1779221
ILMN_1758523	107.4499	14	8.519608	0.312987
ILMN_1794965	103.0399	23	7.391846	0.4324675
ILMN_1722286	123.4972	16	5.258896	0.06363636
ILMN_1784176	160.862	11	12.46536	0
ILMN_1749001	192.397	16	19.1085	0
ILMN_1701551	145.2054	20	10.76632	0.001298701
ILMN_1795507	111.164	23	4.621139	0.2194805
ILMN_1729894	100.3016	21	5.70749	0.5207792
ILMN_1743205	209.1762	34	10.80663	0
ILMN_2259319	95.1845	22	5.144263	0.6688312
ILMN_2129886	97.54922	23	5.36698	0.5987013
ILMN_1796801	136.4591	21	10.52039	0.01298701
ILMN_1720501	127.605	26	5.184755	0.03636364
ILMN_1668446	105.688	19	6.090599	0.3662338
ILMN_1812070	113.4812	16	11.6546	0.1623377
ILMN_2094875	83.5588	20	4.15044	0.9350649
ILMN_1665730	613.8716	15	38.83292	0
ILMN_2232066	107.0833	22	7.383946	0.3220779
ILMN_1767349	106.8804	16	9.090199	0.3246753
ILMN_1658257	82.79446	23	4.833278	0.9506493
ILMN_2193980	1010.149	19	43.12867	0
ILMN_1687840	684.7938	25	36.0047	0
ILMN_2102422	119.0406	22	9.967445	0.0948052
ILMN_1788928	110.3979	16	9.299687	0.2350649
ILMN_2343047	108.8859	24	9.006946	0.2818182
ILMN_2343048	103.2052	24	4.835016	0.4272727
ILMN_2335302	123.7055	26	9.410643	0.06233766
ILMN_1802404	164.6868	22	6.810207	0
ILMN_1776119	101.4853	24	4.670252	0.4805195
ILMN_2358714	87.32651	19	3.54719	0.8727273
ILMN_1732140	101.4386	18	5.952958	0.4818182
ILMN_1713008	82.87289	21	2.652976	0.9480519
ILMN_1762093	94.20933	25	3.861266	0.6974026
ILMN_1709092	81.59602	24	3.437006	0.9597403
ILMN_1678409	107.0283	19	8.32673	0.3220779
ILMN_1774344	117.2148	29	6.437879	0.1090909
ILMN_1676278	107.3746	20	7.602885	0.3142857
ILMN_1717466	100.0881	28	4.463351	0.5272727
ILMN_1677814	118.4126	29	7.615399	0.09740259
ILMN_1788457	142.9669	27	9.28049	0.003896104
ILMN_2194009	158.0725	20	5.247023	0
ILMN_2302358	75.02649	15	3.503028	0.9987013
ILMN_1706531	125.1348	24	7.676744	0.04545455
ILMN_1651964	109.0098	30	7.135073	0.2766234
ILMN_1725675	99.74873	23	6.25865	0.5337662
ILMN_1778352	88.75688	32	2.979517	0.8402597
ILMN_1725414	90.93221	32	3.251502	0.787013
ILMN_2293902	115.6386	22	7.070565	0.1298701
ILMN_1801521	100.8229	11	8.87936	0.5038961
ILMN_2406654	111.2914	24	5.493527	0.2168831
ILMN_3246902	107.7168	26	5.395529	0.3064935
ILMN_3244070	109.1098	20	5.649617	0.2766234
ILMN_1767129	94.31499	25	4.231307	0.6909091
ILMN_1746196	100.6647	18	5.913231	0.5116883
ILMN_2366473	119.3707	21	7.901373	0.08831169
ILMN_1751453	95.09361	16	6.769547	0.6688312
ILMN_1772189	104.174	23	2.805076	0.4025974
ILMN_1652959	107.6844	28	8.160218	0.3064935
ILMN_2198897	88.17603	12	10.15685	0.8532467
ILMN_1674032	138.5107	15	9.570619	0.007792208
ILMN_1737656	104.1319	17	4.228189	0.4038961
ILMN_2343917	92.64441	16	6.786538	0.7376623
ILMN_1746032	108.9833	20	8.100728	0.2779221
ILMN_1651501	108.8961	18	8.611047	0.2818182
ILMN_2330267	1037.409	35	48.0576	0
ILMN_1676846	906.8784	21	36.0355	0
ILMN_2392635	444.5858	30	20.51272	0
ILMN_1763875	1766.617	20	74.65246	0
ILMN_2284941	110.7699	28	6.759981	0.2233766
ILMN_1781999	180.7726	24	10.04673	0
ILMN_1669201	140.3832	25	10.1333	0.005194805
ILMN_1810085	124.7324	23	7.34263	0.04805195
ILMN_2262362	122.9597	15	11.40663	0.06623377
ILMN_1743638	101.8007	16	5.274052	0.4714286
ILMN_1658176	175.6914	28	12.04287	0
ILMN_2329927	157.9428	20	10.02423	0
ILMN_1794782	366.9379	25	13.98554	0
ILMN_1695968	117.3426	24	7.285808	0.1077922
ILMN_1789641	83.88986	24	4.170699	0.9311689
ILMN_1779470	126.1236	20	9.184682	0.04155844
ILMN_1716592	114.1764	27	5.528163	0.1532468
ILMN_1680309	107.3068	26	5.278102	0.3168831
ILMN_1743371	99.14585	27	4.352276	0.5493507
ILMN_1770031	135.3013	19	6.886221	0.01428571
ILMN_2338268	100.0696	29	4.421346	0.5285714
ILMN_1753912	94.82866	20	4.726792	0.6779221
ILMN_1737475	92.30624	29	5.828228	0.7506493
ILMN_1745116	190.7115	26	10.18854	0
ILMN_2318685	183.5743	35	9.460256	0
ILMN_2245305	265.0841	22	16.19905	0
ILMN_1707925	103.9821	16	7.888571	0.4064935
ILMN_1698311	114.0119	25	5.156216	0.1532468
ILMN_2367487	83.94205	26	3.843266	0.9298701
ILMN_1785285	96.53799	21	4.840161	0.635065
ILMN_2073969	120.6353	22	6.982648	0.07662338
ILMN_1794213	110.6206	28	6.689482	0.2272727
ILMN_2227533	101.4792	29	5.704171	0.4805195
ILMN_1769390	199.1327	21	10.20168	0
ILMN_2403446	114.2793	30	7.493278	0.151948
ILMN_1787618	87.06268	30	3.675124	0.8779221
ILMN_1723662	121.3346	16	6.504496	0.07272727
ILMN_1801767	207.2474	27	12.7202	0
ILMN_1700633	130.9568	14	7.551426	0.02467532
ILMN_1655702	116.7113	30	5.783886	0.1116883
ILMN_1706344	369.4218	33	15.26527	0
ILMN_1719498	116.8373	21	8.72872	0.1103896
ILMN_1712707	372.7905	20	21.11197	0
ILMN_1699750	109.577	37	5.528319	0.2623377
ILMN_1739081	138.3	23	10.43124	0.007792208
ILMN_2329958	428.6219	26	20.13885	0
ILMN_1775944	112.1769	18	8.097913	0.1948052
ILMN_1724497	295.7191	23	16.32191	0
