ID_REF	VALUE	5455178010_I.Avg_NBEADS	5455178010_I.BEAD_STDERR	5455178010_I.Detection Pval
ILMN_1762337	105.1461	30	4.957191	0.374026
ILMN_2055271	129.7449	18	7.727149	0.01948052
ILMN_1736007	113.549	18	8.353218	0.1662338
ILMN_2383229	107.4284	29	5.062422	0.3025974
ILMN_1806310	99.43924	21	6.865705	0.5545455
ILMN_1779670	78.92412	15	4.145588	0.9805195
ILMN_1653355	110.5088	15	9.208381	0.2363636
ILMN_1717783	81.72933	23	3.3602	0.9597403
ILMN_1705025	104.8214	18	6.707081	0.3805195
ILMN_1814316	103.6995	15	6.149187	0.4103896
ILMN_2359168	90.82912	23	5.861676	0.7844156
ILMN_1731507	89.85105	24	5.501346	0.8038961
ILMN_1787689	99.51279	25	6.256368	0.5493507
ILMN_3241953	125.2613	26	7.871883	0.03376623
ILMN_1745607	171.6573	23	10.02979	0
ILMN_2136495	85.78777	22	4.090424	0.8948052
ILMN_1668111	100.5574	17	4.505511	0.5194805
ILMN_2295559	111.3235	21	8.795664	0.2142857
ILMN_1735045	203.1339	30	9.12153	0
ILMN_1680754	111.2953	13	11.63041	0.2142857
ILMN_2375184	103.2821	27	6.20686	0.4272727
ILMN_1659452	113.8511	31	5.201346	0.1636364
ILMN_1767388	107.89	19	5.709574	0.2948052
ILMN_1675204	79.28433	21	3.48339	0.9779221
ILMN_1673870	77.55742	30	2.671916	0.9857143
ILMN_1755321	145.3149	31	7.416167	0.002597403
ILMN_1698554	161.499	26	10.13159	0
ILMN_1814092	145.7434	18	14.6349	0.002597403
ILMN_1760414	114.2464	28	5.51011	0.1571429
ILMN_2061446	178.4398	9	13.46177	0
ILMN_1676336	124.3307	21	6.521017	0.04415584
ILMN_1752884	94.75253	24	4.864904	0.6753247
ILMN_1660703	92.49348	21	3.743163	0.7376623
ILMN_1668851	88.49058	15	7.783205	0.8493506
ILMN_2270015	96.66404	23	6.380033	0.6246753
ILMN_1809959	97.52111	25	5.167406	0.5974026
ILMN_2357031	89.74088	14	9.197337	0.8064935
ILMN_1726986	148.5423	19	14.60231	0.002597403
ILMN_3237396	229.6642	24	7.532538	0
ILMN_1688755	134.1	24	10.29586	0.01428571
ILMN_1880387	103.628	26	7.840308	0.412987
ILMN_1689211	84.17596	13	6.374427	0.9194805
ILMN_1653165	212.3695	23	12.17572	0
ILMN_1729835	86.51217	20	4.291242	0.8805195
ILMN_1662364	1862.467	31	64.17074	0
ILMN_1674698	269.4926	23	15.67437	0
ILMN_1700461	300.5565	19	24.70942	0
ILMN_1784269	168.7531	25	6.922766	0
ILMN_1698189	183.6127	22	12.02938	0
ILMN_2096191	519.3105	20	41.41681	0
ILMN_1678323	115.5838	23	6.522143	0.125974
ILMN_2157219	108.8612	19	8.523606	0.2766234
ILMN_1703743	309.8808	31	13.97351	0
ILMN_1687609	128.1741	21	8.513351	0.02337662
ILMN_2068874	110.5777	21	8.844562	0.2324675
ILMN_1699334	121.0845	16	6.4298	0.06493507
ILMN_1670117	110.7035	28	6.157379	0.2311688
ILMN_1805104	94.97594	23	5.062709	0.6714286
ILMN_2404407	99.82674	22	4.628005	0.5389611
ILMN_1766054	134.5843	22	5.878315	0.01298701
ILMN_1753388	116.9878	21	6.975755	0.1116883
ILMN_2070570	149.8886	26	10.95597	0.002597403
ILMN_2232084	115.838	21	8.345341	0.125974
ILMN_1750250	88.36525	21	5.22327	0.8545455
ILMN_2361400	90.03218	23	5.190057	0.8038961
ILMN_1704579	75.32964	25	2.484017	0.9961039
ILMN_1687636	92.46762	27	5.039781	0.7376623
ILMN_1747627	168.1485	16	8.210797	0
ILMN_1758523	100.1069	25	5.067544	0.5285714
ILMN_1794965	99.47615	28	5.526093	0.5532467
ILMN_1722286	147.1198	21	9.334213	0.002597403
ILMN_1784176	142.3914	26	9.679141	0.003896104
ILMN_1749001	140.005	15	7.911696	0.007792208
ILMN_1701551	140.578	23	8.946653	0.006493506
ILMN_1795507	104.5969	21	4.808993	0.3831169
ILMN_1729894	112.1668	21	6.731997	0.1961039
ILMN_1743205	252.8822	27	15.22488	0
ILMN_2259319	108.0428	20	6.918362	0.2922078
ILMN_2129886	111.388	23	8.610761	0.2142857
ILMN_1796801	122.7541	23	8.318793	0.05584415
ILMN_1720501	132.9579	20	5.043886	0.01688312
ILMN_1668446	98.96363	23	5.036993	0.5636364
ILMN_1812070	113.6558	18	8.13493	0.1662338
ILMN_2094875	98.02274	17	8.019908	0.587013
ILMN_1665730	513.3005	17	27.91419	0
ILMN_2232066	103.9216	21	7.052339	0.4025974
ILMN_1767349	101.4525	21	4.739921	0.4831169
ILMN_1658257	87.6066	22	4.427464	0.864935
ILMN_2193980	477.285	22	29.61565	0
ILMN_1687840	385.079	20	21.29132	0
ILMN_2102422	109.1009	34	7.475014	0.2727273
ILMN_1788928	114.4084	9	2.697253	0.151948
ILMN_2343047	124.5609	13	9.595448	0.04415584
ILMN_2343048	101.7585	20	4.625276	0.4753247
ILMN_2335302	99.05513	27	4.979731	0.5623376
ILMN_1802404	121.7276	32	5.851785	0.06103896
ILMN_1776119	104.8364	30	6.457156	0.3805195
ILMN_2358714	88.36412	15	7.013178	0.8545455
ILMN_1732140	109.5577	20	4.814401	0.2545455
ILMN_1713008	92.33668	15	4.651285	0.7402598
ILMN_1762093	87.82248	31	2.787766	0.8623376
ILMN_1709092	86.11558	28	3.608829	0.887013
ILMN_1678409	111.9006	28	4.665551	0.2051948
ILMN_1774344	105.9588	37	3.253268	0.3493507
ILMN_1676278	89.89565	14	6.106505	0.8038961
ILMN_1717466	107.1979	21	5.013494	0.3077922
ILMN_1677814	108.4009	25	6.717801	0.287013
ILMN_1788457	156.3702	16	12.06495	0
ILMN_2194009	148.7214	24	7.243711	0.002597403
ILMN_2302358	78.97912	23	4.518203	0.9805195
ILMN_1706531	164.3122	16	14.36327	0
ILMN_1651964	112.372	17	4.92633	0.1961039
ILMN_1725675	98.68008	29	4.900248	0.574026
ILMN_1778352	97.89157	28	5.89927	0.5935065
ILMN_1725414	95.07944	28	5.426064	0.6688312
ILMN_2293902	101.196	24	4.860055	0.4909091
ILMN_1801521	115.6114	15	8.402841	0.125974
ILMN_2406654	104.8724	25	7.350634	0.3779221
ILMN_3246902	118.391	16	10.4565	0.09350649
ILMN_3244070	120.6661	25	5.862118	0.07012987
ILMN_1767129	80.74194	17	5.176875	0.9675325
ILMN_1746196	107.6405	26	5.285275	0.2987013
ILMN_2366473	128.163	22	7.350798	0.02337662
ILMN_1751453	108.2341	25	6.326284	0.2909091
ILMN_1772189	124.3466	36	6.117979	0.04415584
ILMN_1652959	108.0161	28	6.589534	0.2922078
ILMN_2198897	82.58495	16	4.710679	0.9441559
ILMN_1674032	158.9697	20	10.59504	0
ILMN_1737656	111.2511	23	7.461558	0.2168831
ILMN_2343917	94.69421	21	3.059917	0.6753247
ILMN_1746032	109.8729	19	7.481519	0.2493507
ILMN_1651501	108.1339	30	4.964573	0.2909091
ILMN_2330267	517.8028	27	30.47977	0
ILMN_1676846	385.9526	28	16.6719	0
ILMN_2392635	245.4533	28	9.743783	0
ILMN_1763875	1165.271	21	51.0703	0
ILMN_2284941	95.64387	19	5.958429	0.6506494
ILMN_1781999	174.6511	25	11.55184	0
ILMN_1669201	105.7594	20	4.767575	0.3558442
ILMN_1810085	117.8064	24	6.262768	0.1025974
ILMN_2262362	106.4622	22	5.679462	0.3350649
ILMN_1743638	89.50632	16	4.402274	0.8155844
ILMN_1658176	151.2453	25	9.124715	0.002597403
ILMN_2329927	125.6927	15	7.959926	0.03246753
ILMN_1794782	226.9038	18	12.97142	0
ILMN_1695968	112.3481	25	6.717096	0.1961039
ILMN_1789641	88.66607	25	4.685275	0.8467532
ILMN_1779470	130.2932	30	7.770685	0.01948052
ILMN_1716592	102.9368	25	5.285258	0.4467532
ILMN_1680309	119.1317	19	8.888776	0.08181818
ILMN_1743371	123.7613	29	9.099698	0.04935065
ILMN_1770031	268.1279	30	13.63664	0
ILMN_2338268	109.8616	21	7.673315	0.2493507
ILMN_1753912	106.8105	18	7.959071	0.3207792
ILMN_1737475	82.40219	24	3.391541	0.9467533
ILMN_1745116	216.2809	17	12.07683	0
ILMN_2318685	247.4858	36	14.54397	0
ILMN_2245305	286.3006	16	17.14547	0
ILMN_1707925	120.131	24	6.34457	0.07402597
ILMN_1698311	115.3086	27	7.62721	0.1324675
ILMN_2367487	100.3285	26	5.578819	0.5220779
ILMN_1785285	104.0624	13	3.661413	0.4
ILMN_2073969	121.1819	22	5.877913	0.06363636
ILMN_1794213	181.8171	23	11.36509	0
ILMN_2227533	180.2193	20	14.34203	0
ILMN_1769390	507.9507	17	35.26801	0
ILMN_2403446	135.5838	19	13.30911	0.01168831
ILMN_1787618	86.83897	11	7.188893	0.8766234
ILMN_1723662	146.0671	23	11.795	0.002597403
ILMN_1801767	148.9904	21	9.052385	0.002597403
ILMN_1700633	105.6691	23	5.002266	0.361039
ILMN_1655702	98.38272	12	3.20703	0.5805195
ILMN_1706344	1017.29	17	28.44047	0
ILMN_1719498	92.81631	21	5.952566	0.7298701
ILMN_1712707	456.8826	22	28.35069	0
ILMN_1699750	102.6361	21	7.757427	0.4545455
ILMN_1739081	127.192	21	10.32858	0.02987013
ILMN_2329958	487.9331	23	36.28562	0
ILMN_1775944	112.9548	29	6.831516	0.1857143
ILMN_1724497	317.9611	20	21.07479	0
ILMN_1720988	131.511	26	9.557091	0.01818182
ILMN_1707274	123.8135	19	10.25282	0.04935065
ILMN_1755658	135.3386	21	10.0211	0.01168831
ILMN_1673639	92.03899	20	4.97749	0.7428572
ILMN_1713732	543.3069	27	27.59062	0
ILMN_1708922	102.9839	25	4.942171	0.4441558
ILMN_2268241	117.6408	20	7.588502	0.1064935
ILMN_1741628	106.1812	18	9.026211	0.3441558
ILMN_1657870	145.2402	12	23.08399	0.002597403
ILMN_2240003	103.3992	26	4.215505	0.4233766
ILMN_1785424	120.1574	19	5.570135	0.07402597
ILMN_1731610	106.3956	25	5.15563	0.3363636
ILMN_1696682	121.2577	22	7.194518	0.06233766
ILMN_2396672	103.1717	30	3.568324	0.4337662
ILMN_1758825	91.26096	22	5.595177	0.7701299
ILMN_1656940	90.59025	17	5.315262	0.7961039
ILMN_1656979	81.77084	20	4.549581	0.9584416
ILMN_1731433	112.9434	27	6.711816	0.1857143
ILMN_1672878	1008.859	25	36.51297	0
ILMN_1655114	103.1327	23	6.232505	0.4350649
