ID_REF	VALUE	5522887032_E.Avg_NBEADS	5522887032_E.BEAD_STDERR	5522887032_E.Detection Pval
ILMN_1762337	107.2228	31	3.811882	0.2688312
ILMN_2055271	133.617	17	12.9485	0.009090909
ILMN_1736007	114.7212	31	5.107293	0.1077922
ILMN_2383229	114.0413	21	7.035447	0.1194805
ILMN_1806310	100.5108	23	3.956677	0.4831169
ILMN_1779670	99.4967	19	4.495576	0.5324675
ILMN_1653355	124.0851	16	7.238901	0.02987013
ILMN_1717783	90.10005	17	5.23492	0.8012987
ILMN_1705025	98.28801	23	5.48081	0.5688311
ILMN_1814316	95.82453	30	4.058832	0.651948
ILMN_2359168	97.38899	22	4.507993	0.5961039
ILMN_1731507	105.2241	17	4.608526	0.312987
ILMN_1787689	97.4671	21	5.17755	0.5961039
ILMN_3241953	100.0643	24	3.841535	0.5038961
ILMN_1745607	246.0791	29	12.13758	0
ILMN_2136495	77.43083	21	3.251328	0.9922078
ILMN_1668111	121.7638	12	12.6129	0.03896104
ILMN_2295559	102.8246	14	4.256389	0.3948052
ILMN_1735045	118.8085	21	5.219957	0.06233766
ILMN_1680754	140.6847	14	12.07026	0.003896104
ILMN_2375184	100.5837	28	3.217982	0.4792208
ILMN_1659452	108.82	37	3.505599	0.2233766
ILMN_1767388	95.07858	23	4.203565	0.6766234
ILMN_1675204	82.68071	23	3.669142	0.9402598
ILMN_1673870	83.14709	26	2.239398	0.938961
ILMN_1755321	126.379	22	5.358357	0.02597403
ILMN_1698554	137.8749	18	6.510706	0.003896104
ILMN_1814092	117.8371	19	5.644367	0.07662338
ILMN_1760414	109.1046	27	5.092089	0.2168831
ILMN_2061446	199.0396	16	12.15123	0
ILMN_1676336	129.5472	23	6.636777	0.02077922
ILMN_1752884	103.0169	34	5.274305	0.3896104
ILMN_1660703	90.09683	16	5.678768	0.8012987
ILMN_1668851	101.161	15	6.573123	0.4558442
ILMN_2270015	104.8354	25	4.280902	0.325974
ILMN_1809959	78.93775	26	2.714276	0.9805195
ILMN_2357031	83.73678	19	4.932008	0.9324675
ILMN_1726986	125.9139	22	5.229009	0.02727273
ILMN_3237396	239.4875	28	10.34302	0
ILMN_1688755	117.66	33	4.109032	0.07662338
ILMN_1880387	91.32618	15	3.536417	0.774026
ILMN_1689211	96.85149	22	3.109741	0.612987
ILMN_1653165	250.7847	23	18.78474	0
ILMN_1729835	90.19775	32	3.299343	0.7974026
ILMN_1662364	1804.091	30	74.78552	0
ILMN_1674698	192.3094	18	10.20606	0
ILMN_1700461	301.2329	17	27.6936	0
ILMN_1784269	167.7998	25	7.116515	0
ILMN_1698189	190.3625	17	9.27342	0
ILMN_2096191	551.0636	12	51.33984	0
ILMN_1678323	129.1562	17	6.208714	0.02077922
ILMN_2157219	128.1689	22	6.970868	0.02207792
ILMN_1703743	299.2263	33	16.82303	0
ILMN_1687609	126.9888	18	7.89352	0.02337662
ILMN_2068874	102.6479	24	4.845335	0.4064935
ILMN_1699334	130.409	13	7.785531	0.01558442
ILMN_1670117	97.32925	18	4.87577	0.5974026
ILMN_1805104	110.1044	23	6.60969	0.1935065
ILMN_2404407	118.4622	19	4.009896	0.06493507
ILMN_1766054	209.2596	25	8.6963	0
ILMN_1753388	98.74819	20	3.78511	0.5532467
ILMN_2070570	144.4057	28	8.110113	0.002597403
ILMN_2232084	102.1128	19	7.371682	0.4233766
ILMN_1750250	88.50873	31	3.533171	0.8350649
ILMN_2361400	107.9035	24	6.601313	0.2506494
ILMN_1704579	84.03433	18	5.225345	0.925974
ILMN_1687636	97.81168	30	3.364068	0.5896104
ILMN_1747627	107.5406	16	5.475356	0.2597403
ILMN_1758523	97.1008	18	3.428222	0.6077922
ILMN_1794965	99.85053	31	3.510447	0.5168831
ILMN_1722286	235.1324	31	12.83599	0
ILMN_1784176	138.6142	14	7.154232	0.003896104
ILMN_1749001	140.4003	26	7.729218	0.003896104
