n0,1-Pi0,Effect,S0,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
5,0.09999999999999998,0.5,0.5,0.0001,0.0003,0.05,0.21794494717703367,0.5000472222222222,0.0001514080008323343,0.0001,0.0003,5.5555555555530935e-06,2.4216105241881893e-05,0.00019980019980019983,0.0005994005994005995
5,0.09999999999999998,0.5,1.0,1e-05,9.9498743710662e-05,0.05,0.21794494717703367,0.5000022222222222,5.147215476399538e-05,1e-05,9.9498743710662e-05,5.5555555555530935e-06,2.4216105241881893e-05,1.9980019980019983e-05,0.00019879868873259144
5,0.09999999999999998,1.0,0.5,0.0019300000000000003,0.0013656866404852907,0.025,0.12332207155790618,0.5009622222222222,0.0006840276508742114,0.0019300000000000003,0.0013656866404852907,5.5555555555530935e-06,2.4216105241881893e-05,0.003848720588820007,0.002717890421797724
5,0.09999999999999998,1.0,1.0,0.0001,0.0003,0.05,0.21794494717703367,0.5000472222222222,0.0001514080008323343,0.0001,0.0003,5.5555555555530935e-06,2.4216105241881893e-05,0.00019980019980019983,0.0005994005994005995
5,0.09999999999999998,1.5,0.5,0.01554,0.003983516034861664,0.003326163001085602,0.014815757126340652,0.5077672222222221,0.001992450179063312,0.01554,0.003983516034861664,5.5555555555530935e-06,2.4216105241881893e-05,0.030572703156989026,0.007721981667451881
5,0.09999999999999998,1.5,1.0,0.00046,0.0006696267617113283,0.045,0.2011839953873071,0.5002272222222223,0.0003361083562788698,0.00046,0.0006696267617113283,5.5555555555530935e-06,2.4216105241881893e-05,0.0009186622954301954,0.0013368045880824814
5,0.25,0.5,0.5,0.000152,0.000217476435505091,0.025,0.14790199457749037,0.5000733333333333,0.00011055415967850113,0.000152,0.000217476435505091,5.333333333332746e-06,3.222145592958197e-05,0.0003038560754754853,0.00043471818474920954
5,0.25,0.5,1.0,2.8000000000000003e-05,0.00010205880657738461,0.025,0.14790199457749037,0.5000113333333334,5.168709273653305e-05,2.8000000000000003e-05,0.00010205880657738461,5.333333333332746e-06,3.222145592958197e-05,5.597441279283651e-05,0.00020402435102109145
5,0.25,1.0,0.5,0.001984,0.0008870986416402632,0.006285714285714286,0.0371604354008894,0.5009893333333333,0.0004437937458875345,0.001984,0.0008870986416402632,5.333333333332746e-06,3.222145592958197e-05,0.003958515295338084,0.001766635310779433
5,0.25,1.0,1.0,0.000152,0.000217476435505091,0.025,0.14790199457749037,0.5000733333333333,0.00011055415967850113,0.000152,0.000217476435505091,5.333333333332746e-06,3.222145592958197e-05,0.0003038560754754853,0.00043471818474920954
5,0.25,1.5,0.5,0.015264,0.002472064724071763,0.0011458333333333333,0.006624464504734687,0.5076293333333334,0.0012377154582356828,0.015264,0.002472064724071763,5.333333333332746e-06,3.222145592958197e-05,0.030056927564270447,0.004792918049534597
5,0.25,1.5,1.0,0.0005,0.0004093897898091744,0.02,0.12310790208412924,0.5002473333333333,0.00020597626616244527,0.0005,0.0004093897898091744,5.333333333332746e-06,3.222145592958197e-05,0.0009991528961506124,0.0008176628111805827
5,0.5,0.5,0.5,0.00012200000000000001,0.00013826062346163496,0.03,0.17058722109231983,0.5000579999999999,7.372923436465892e-05,0.00012200000000000001,0.00013826062346163496,5.9999999999993395e-06,3.411744421846021e-05,0.0002439320222315237,0.0002764204395134728
5,0.5,0.5,1.0,2.6000000000000002e-05,6.726068688320094e-05,0.03,0.17058722109231983,0.5000100000000001,3.87298334620699e-05,2.6000000000000002e-05,6.726068688320094e-05,5.9999999999993395e-06,3.411744421846021e-05,5.198960207958409e-05,0.0001344944748714276
5,0.5,1.0,0.5,0.0020420000000000004,0.0006313762744988127,0.00292156862745098,0.01866249541465138,0.501018,0.00031476340320944974,0.0020420000000000004,0.0006313762744988127,5.9999999999993395e-06,3.411744421846021e-05,0.004074857447453939,0.0012572148170136499
5,0.5,1.0,1.0,0.00012200000000000001,0.00013826062346163496,0.03,0.17058722109231983,0.5000579999999999,7.372923436465892e-05,0.00012200000000000001,0.00013826062346163496,5.9999999999993395e-06,3.411744421846021e-05,0.0002439320222315237,0.0002764204395134728
5,0.5,1.5,0.5,0.015538000000000003,0.0017551512755315422,0.00039134330684120305,0.0022433155968222466,0.5077659999999999,0.0008779772206612144,0.015538000000000003,0.0017551512755315422,5.9999999999993395e-06,3.411744421846021e-05,0.03059446765895092,0.003403472207448651
5,0.5,1.5,1.0,0.000538,0.00030684849681886987,0.0075,0.04264680527307996,0.500266,0.00015376605607219585,0.000538,0.00030684849681886987,5.9999999999993395e-06,3.411744421846021e-05,0.0010752262582452807,0.0006129272329828195
15,0.09999999999999998,0.5,0.5,0.010819999999999998,0.0030899190927919135,0.0045340909090909095,0.024518343086906848,0.5054072222222222,0.0015457639247670144,0.010819999999999998,0.0030899190927919135,5.555555555554204e-06,2.8867513459476827e-05,0.021388908865805335,0.006043885375907245
15,0.09999999999999998,0.5,1.0,0.00034,0.0005332916650389354,0.035,0.17684739183827394,0.5001672222222221,0.000267763369829057,0.00034,0.0005332916650389354,5.555555555554204e-06,2.8867513459476827e-05,0.0006791810983427752,0.0010651208826892823
15,0.09999999999999998,1.0,0.5,0.47471,0.015957628269890226,0.00010443862969520358,0.0005444003980499324,0.7373522222222222,0.00797832410695101,0.47471,0.015957628269890226,5.555555555554204e-06,2.8867513459476827e-05,0.6436202744333638,0.014694443426378307
15,0.09999999999999998,1.0,1.0,0.010819999999999998,0.0030899190927919135,0.0045340909090909095,0.024518343086906848,0.5054072222222222,0.0015457639247670144,0.010819999999999998,0.0030899190927919135,5.555555555554204e-06,2.8867513459476827e-05,0.021388908865805335,0.006043885375907245
15,0.09999999999999998,1.5,0.5,0.9832,0.00404227658628155,5.0803089804358165e-05,0.00026375909047429236,0.9915972222222221,0.00202146467801058,0.9832,0.00404227658628155,5.555555555554204e-06,2.8867513459476827e-05,0.9914996707963318,0.0020627154450993646
15,0.09999999999999998,1.5,1.0,0.11821,0.012334743613063064,0.00042147065208994445,0.0022782789088674187,0.5591022222222223,0.006167345908537599,0.11821,0.012334743613063064,5.555555555554204e-06,2.8867513459476827e-05,0.21119987825478795,0.01975293106204587
15,0.25,0.5,0.5,0.010955999999999999,0.002282381212681177,0.003498540192859968,0.012798209930615713,0.5054719999999999,0.001143898985439229,0.010955999999999999,0.002282381212681177,1.1999999999998679e-05,4.25623725320283e-05,0.02166374520393981,0.004466602602586327
15,0.25,0.5,1.0,0.00034,0.00037255872020394313,0.05166666666666666,0.19249098102970374,0.5001639999999999,0.00018581233065170723,0.00034,0.00037255872020394313,1.1999999999998679e-05,4.25623725320283e-05,0.0006794597331397507,0.0007442893656172378
15,0.25,1.0,0.5,0.48548,0.011436013291352892,7.423949435389359e-05,0.0002638849536785537,0.7427340000000001,0.005718519583093359,0.48548,0.011436013291352892,1.1999999999998679e-05,4.25623725320283e-05,0.6535383450294724,0.010351227972219278
15,0.25,1.0,1.0,0.010955999999999999,0.002282381212681177,0.003498540192859968,0.012798209930615713,0.5054719999999999,0.001143898985439229,0.010955999999999999,0.002282381212681177,1.1999999999998679e-05,4.25623725320283e-05,0.02166374520393981,0.004466602602586327
15,0.25,1.5,0.5,0.9856320000000001,0.0021019457652375353,3.654429347280306e-05,0.00012967769983866748,0.9928100000000001,0.0010540662007462154,0.9856320000000001,0.0021019457652375353,1.1999999999998679e-05,4.25623725320283e-05,0.9927448930871257,0.0010771736983410263
15,0.25,1.5,1.0,0.12081999999999997,0.0067831261229613,0.00029306332129914065,0.0010418830512699496,0.560404,0.0033901926526706734,0.12081999999999997,0.0067831261229613,1.1999999999998679e-05,4.25623725320283e-05,0.21551987211524917,0.010786905714075931
15,0.5,0.5,0.5,0.010962000000000003,0.0015449776697415403,0.0005395116754968744,0.003105164507175041,0.5054780000000001,0.0007722149959693847,0.010962000000000003,0.0015449776697415403,5.9999999999993395e-06,3.411744421846021e-05,0.021681525200747568,0.0030221044335277587
15,0.5,0.5,1.0,0.00032,0.0002576819745345025,0.013333333333333332,0.07702813338860896,0.500157,0.00013057947771375196,0.00032,0.0002576819745345025,5.9999999999993395e-06,3.411744421846021e-05,0.0006396594180828742,0.0005149467995633531
15,0.5,1.0,0.5,0.50385,0.008334332606753828,1.6151314464884384e-05,7.912778521001278e-05,0.751921,0.004171385740973854,0.50385,0.008334332606753828,7.999999999999119e-06,3.9191835884526544e-05,0.67003582778743,0.007358123683002349
15,0.5,1.0,1.0,0.010962000000000003,0.0015449776697415403,0.0005395116754968744,0.003105164507175041,0.5054780000000001,0.0007722149959693847,0.010962000000000003,0.0015449776697415403,5.9999999999993395e-06,3.411744421846021e-05,0.021681525200747568,0.0030221044335277587
15,0.5,1.5,0.5,0.9900679999999997,0.001376435977443194,1.0105532568197767e-05,4.404906671727587e-05,0.9950289999999999,0.0006911287868407834,0.9900679999999997,0.001376435977443194,9.999999999998898e-06,4.358898943540194e-05,0.9950037355851744,0.0006980995738833592
15,0.5,1.5,1.0,0.122858,0.004595066484829136,5.001906909492151e-05,0.00028455771314239757,0.561426,0.00229954865136618,0.122858,0.004595066484829136,5.9999999999993395e-06,3.411744421846021e-05,0.2187999103975303,0.007287538567216337
30,0.09999999999999998,0.5,0.5,0.15248,0.011381107151766915,0.0006189105244420705,0.0018601026889402332,0.5762344444444445,0.00568636869090361,0.15248,0.011381107151766915,1.1111111111106187e-05,3.3333333333318556e-05,0.26441829142445145,0.017179428554524933
30,0.09999999999999998,0.5,1.0,0.00261,0.0017486852203870197,0.030845238095238092,0.11960821519328578,0.5012994444444444,0.0008719884683233416,0.00261,0.0017486852203870197,1.1111111111106187e-05,3.3333333333318556e-05,0.0051996738124311815,0.0034761844989192425
30,0.09999999999999998,1.0,0.5,0.9936699999999999,0.00224078111380831,0.00010057381778702634,0.0003017223699739312,0.9968294444444444,0.0011214313770058883,0.9936699999999999,0.00224078111380831,1.1111111111106187e-05,3.3333333333318556e-05,0.9967737093250849,0.0011456672656065601
30,0.09999999999999998,1.0,1.0,0.15248,0.011381107151766915,0.0006189105244420705,0.0018601026889402332,0.5762344444444445,0.00568636869090361,0.15248,0.011381107151766915,1.1111111111106187e-05,3.3333333333318556e-05,0.26441829142445145,0.017179428554524933
30,0.09999999999999998,1.5,0.5,1.0,0.0,9.99000999000999e-05,0.0002997002997002997,0.9999944444444445,1.6666666666642625e-05,1.0,0.0,1.1111111111106187e-05,3.3333333333318556e-05,0.9999500249875062,0.00014992503748122442
30,0.09999999999999998,1.5,1.0,0.7715100000000001,0.011660613191423521,0.00012920962367513934,0.0003876740749261821,0.8857494444444446,0.005829572835503856,0.7715100000000001,0.011660613191423521,1.1111111111106187e-05,3.3333333333318556e-05,0.8709215743369496,0.007426032151399511
30,0.25,0.5,0.5,0.15379600000000002,0.007205663328243974,0.00015850959160569557,0.0006278171545245843,0.576894,0.0036043072381064683,0.15379600000000002,0.007205663328243974,7.999999999999119e-06,3.166491223209763e-05,0.2665180966001832,0.010850821593218814
30,0.25,0.5,1.0,0.002552,0.001016314911826054,0.00878968253968254,0.03713155162190694,0.5012719999999998,0.0005079527537084483,0.002552,0.001016314911826054,7.999999999999119e-06,3.166491223209763e-05,0.005088831102495667,0.002021657626006346
30,0.25,1.0,0.5,0.9946039999999999,0.0014204168402268404,3.218999441416098e-05,0.00010916171819715377,0.9972966666666668,0.0007138238189108382,0.9946039999999999,0.0014204168402268404,1.0666666666665492e-05,3.61724265766641e-05,0.9972781959674815,0.0007262196821199271
30,0.25,1.0,1.0,0.15379600000000002,0.007205663328243974,0.00015850959160569557,0.0006278171545245843,0.576894,0.0036043072381064683,0.15379600000000002,0.007205663328243974,7.999999999999119e-06,3.166491223209763e-05,0.2665180966001832,0.010850821593218814
30,0.25,1.5,0.5,1.0,0.0,3.198720511795282e-05,0.00010847389017393472,0.9999946666666666,1.8086213288332057e-05,1.0,0.0,1.0666666666665492e-05,3.61724265766641e-05,0.9999840031993601,5.42477903069349e-05
30,0.25,1.5,1.0,0.7833559999999999,0.007967713850283527,3.56296461798653e-05,0.00012987060985208027,0.8916733333333333,0.003982645686810049,0.7833559999999999,0.007967713850283527,9.333333333332306e-06,3.401960219245777e-05,0.8784827149545096,0.00501422426625196
30,0.5,0.5,0.5,0.15633599999999997,0.0050699017741964204,6.38637226173047e-05,0.0002785026853067035,0.578163,0.0025348631126749237,0.15633599999999997,0.0050699017741964204,9.999999999998898e-06,4.358898943540194e-05,0.27036332558613807,0.007583644667245959
30,0.5,0.5,1.0,0.0025739999999999995,0.0007247923840659476,0.004972222222222222,0.023538433897996914,0.501282,0.00036589069406039754,0.0025739999999999995,0.0007247923840659476,9.999999999998898e-06,4.358898943540194e-05,0.005133697499658179,0.0014421793449825458
