n0,1-Pi0,Effect,S0,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
5,0.1,0.5,0.5,0.00016,0.00046,0.05750,0.22320,0.50008,0.00023,0.00016,0.00046,0.00001,0.00003,0.00032,0.00092
5,0.1,0.5,1,0.00002,0.00014,0.05500,0.22243,0.50001,0.00007,0.00002,0.00014,0.00001,0.00003,0.00004,0.00028
5,0.1,1,0.5,0.09491,0.03004,0.05026,0.02361,0.54716,0.01491,0.09491,0.03004,0.00058,0.00035,0.17108,0.04999
5,0.1,1,1,0.00016,0.00046,0.05750,0.22320,0.50008,0.00023,0.00016,0.00046,0.00001,0.00003,0.00032,0.00092
5,0.1,1.5,0.5,0.74926,0.01870,0.05031,0.00727,0.87242,0.00930,0.74926,0.01870,0.00442,0.00068,0.83751,0.01201
5,0.1,1.5,1,0.00181,0.00250,0.04617,0.15989,0.50090,0.00124,0.00181,0.00250,0.00001,0.00004,0.00360,0.00495
5,0.25,0.5,0.5,0.00032,0.00052,0.04833,0.16167,0.50015,0.00026,0.00032,0.00052,0.00001,0.00005,0.00064,0.00103
5,0.25,0.5,1,0.00003,0.00012,0.03000,0.15524,0.50001,0.00006,0.00003,0.00012,0.00001,0.00003,0.00006,0.00024
5,0.25,1,0.5,0.41431,0.02186,0.04953,0.00671,0.70355,0.01065,0.41431,0.02186,0.00721,0.00117,0.57671,0.02099
5,0.25,1,1,0.00032,0.00052,0.04833,0.16167,0.50015,0.00026,0.00032,0.00052,0.00001,0.00005,0.00064,0.00103
5,0.25,1.5,0.5,0.92331,0.00729,0.05005,0.00526,0.95354,0.00353,0.92331,0.00729,0.01623,0.00182,0.93641,0.00414
5,0.25,1.5,1,0.03805,0.01613,0.04602,0.02435,0.51871,0.00791,0.03805,0.01613,0.00063,0.00042,0.07269,0.02988
5,0.5,0.5,0.5,0.00191,0.00209,0.04139,0.11205,0.50090,0.00098,0.00191,0.00209,0.00011,0.00018,0.00381,0.00416
5,0.5,0.5,1,0.00003,0.00008,0.04000,0.19596,0.50001,0.00005,0.00003,0.00008,0.00001,0.00005,0.00006,0.00017
5,0.5,1,0.5,0.74475,0.01545,0.04931,0.00398,0.85303,0.00653,0.74475,0.01545,0.03868,0.00378,0.83510,0.00897
5,0.5,1,1,0.00191,0.00209,0.04139,0.11205,0.50090,0.00098,0.00191,0.00209,0.00011,0.00018,0.00381,0.00416
5,0.5,1.5,0.5,0.98544,0.00224,0.04966,0.00354,0.96697,0.00174,0.98544,0.00224,0.05151,0.00392,0.96757,0.00166
5,0.5,1.5,1,0.32383,0.01933,0.04649,0.00538,0.65400,0.00901,0.32383,0.01933,0.01583,0.00233,0.48312,0.02148
15,0.1,0.5,0.5,0.24262,0.02621,0.05057,0.01496,0.62059,0.01305,0.24262,0.02621,0.00144,0.00046,0.38575,0.03351
15,0.1,0.5,1,0.00078,0.00134,0.04147,0.14168,0.50038,0.00066,0.00078,0.00134,0.00002,0.00006,0.00155,0.00266
15,0.1,1,0.5,0.98974,0.00320,0.04984,0.00690,0.99198,0.00168,0.98974,0.00320,0.00577,0.00084,0.96953,0.00401
