n0,1-Pi0,Effect,S0,Bonferroni Method,,,,,,,,,,,,Holm Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Power bonf,Power SD bonf,FDR bonf,FDR SD bonf,Accuracy bonf,Accuracy SD bonf,TPR bonf,TPR SD bonf,FPR bonf,FPR SD bonf,F1 bonf,F1 SD bonf,Power holm,Power SD holm,FDR holm,FDR SD holm,Accuracy holm,Accuracy SD holm,TPR holm,TPR SD holm,FPR holm,FPR SD holm,F1 holm,F1 SD holm,Power sg,Power SD sg,FDR sg,FDR SD sg,Accuracy sg,Accuracy SD sg,TPR sg,TPR SD sg,FPR sg,FPR SD sg,F1 sg,F1 SD sg,Power bh,Power SD bh,FDR bh,FDR SD bh,Accuracy bh,Accuracy SD bh,TPR bh,TPR SD bh,FPR bh,FPR SD bh,F1 bh,F1 SD bh,Power by,Power SD by,FDR by,FDR SD by,Accuracy by,Accuracy SD by,TPR by,TPR SD by,FPR by,FPR SD by,F1 by,F1 SD by,Power Q,Power SD Q,FDR Q,FDR SD Q,Accuracy Q,Accuracy SD Q,TPR Q,TPR SD Q,FPR Q,FPR SD Q,F1 Q,F1 SD Q
5,0.1,0.5,0.5,0.0001,0.0003,0.05,0.217944947,0.500047222,0.000151408,0.0001,0.0003,5.56E-06,2.42E-05,0.0001998,0.000599401,0.0001,0.0003,0.05,0.217944947,0.500047222,0.000151408,0.0001,0.0003,5.56E-06,2.42E-05,0.0001998,0.000599401,0.22761,0.01116503,0.580828729,0.02056175,0.596283333,0.006202795,0.22761,0.01116503,0.035043333,0.001240559,0.295022683,0.014471847,0.00015,0.000455522,0.0575,0.223201142,0.500071111,0.000224582,0.00015,0.000455522,7.78E-06,2.83E-05,0.000299461,0.000908814,0,0,0,0,0.5,0,0,0,0,0,0,0,0.00016,0.000463033,0.0575,0.223201142,0.500076111,0.000228475,0.00016,0.000463033,7.78E-06,2.83E-05,0.000319441,0.00092385
5,0.1,0.5,1,1.00E-05,9.95E-05,0.05,0.217944947,0.500002222,5.15E-05,1.00E-05,9.95E-05,5.56E-06,2.42E-05,2.00E-05,0.000198799,1.00E-05,9.95E-05,0.05,0.217944947,0.500002222,5.15E-05,1.00E-05,9.95E-05,5.56E-06,2.42E-05,2.00E-05,0.000198799,0.10485,0.009529297,0.805682851,0.017301099,0.528274444,0.005209931,0.10485,0.009529297,0.048301111,0.001307556,0.136196728,0.012245652,2.00E-05,0.00014,0.055,0.222429764,0.500006667,6.77E-05,2.00E-05,0.00014,6.67E-06,2.64E-05,3.99E-05,0.000279581,0,0,0,0,0.5,0,0,0,0,0,0,0,2.00E-05,0.00014,0.055,0.222429764,0.500006667,6.77E-05,2.00E-05,0.00014,6.67E-06,2.64E-05,3.99E-05,0.000279581
5,0.1,1,0.5,0.00193,0.001365687,0.025,0.123322072,0.500962222,0.000684028,0.00193,0.001365687,5.56E-06,2.42E-05,0.003848721,0.00271789,0.00193,0.001365687,0.025,0.123322072,0.500962222,0.000684028,0.00193,0.001365687,5.56E-06,2.42E-05,0.003848721,0.00271789,0.45933,0.00774991,0.154088398,0.014272394,0.725016667,0.004305505,0.45933,0.00774991,0.009296667,0.000861101,0.595372651,0.010045249,0.07264,0.029140185,0.04613385,0.02744273,0.536114444,0.014484515,0.07264,0.029140185,0.000411111,0.000277333,0.133536237,0.05054077,0.00028,0.00066453,0,0,0.50014,0.000332265,0.00028,0.00066453,0,0,0.000558962,0.001325955,0.09491,0.030037009,0.050263085,0.023610519,0.547162778,0.014908172,0.09491,0.030037009,0.000584444,0.000346275,0.171083097,0.049992075
5,0.1,1,1,0.0001,0.0003,0.05,0.217944947,0.500047222,0.000151408,0.0001,0.0003,5.56E-06,2.42E-05,0.0001998,0.000599401,0.0001,0.0003,0.05,0.217944947,0.500047222,0.000151408,0.0001,0.0003,5.56E-06,2.42E-05,0.0001998,0.000599401,0.22761,0.01116503,0.580828729,0.02056175,0.596283333,0.006202795,0.22761,0.01116503,0.035043333,0.001240559,0.295022683,0.014471847,0.00015,0.000455522,0.0575,0.223201142,0.500071111,0.000224582,0.00015,0.000455522,7.78E-06,2.83E-05,0.000299461,0.000908814,0,0,0,0,0.5,0,0,0,0,0,0,0,0.00016,0.000463033,0.0575,0.223201142,0.500076111,0.000228475,0.00016,0.000463033,7.78E-06,2.83E-05,0.000319441,0.00092385
5,0.1,1.5,0.5,0.01552,0.003955958,0.003326163,0.014815757,0.507757222,0.001978662,0.01552,0.003955958,5.56E-06,2.42E-05,0.030534331,0.007669393,0.01554,0.003983516,0.003326163,0.014815757,0.507767222,0.00199245,0.01554,0.003983516,5.56E-06,2.42E-05,0.030572703,0.007721982,0.53053,0.003185765,0.022965009,0.005866971,0.764572222,0.00176987,0.53053,0.003185765,0.001385556,0.000353974,0.687660402,0.004129313,0.72389,0.01683205,0.045021455,0.007031607,0.860046667,0.008373178,0.72389,0.01683205,0.003796667,0.000627174,0.823408969,0.011164546,0.07448,0.029698646,0.003395428,0.00654423,0.537225,0.014842482,0.07448,0.029698646,3.00E-05,5.63E-05,0.137172308,0.051481629,0.74926,0.018704876,0.050307348,0.007265201,0.872422222,0.009295379,0.74926,0.018704876,0.004415556,0.000680708,0.837509947,0.012009119
5,0.1,1.5,1,0.00046,0.000669627,0.045,0.201183995,0.500227222,0.000336108,0.00046,0.000669627,5.56E-06,2.42E-05,0.000918662,0.001336805,0.00046,0.000669627,0.045,0.201183995,0.500227222,0.000336108,0.00046,0.000669627,5.56E-06,2.42E-05,0.000918662,0.001336805,0.36336,0.009735009,0.330828729,0.017928193,0.6717,0.005408338,0.36336,0.009735009,0.01996,0.001081668,0.470978613,0.012618288,0.00148,0.00231292,0.046166667,0.163755492,0.500733333,0.001149799,0.00148,0.00231292,1.33E-05,3.61E-05,0.00294413,0.004583184,6.00E-05,0.000237487,0,0,0.50003,0.000118743,6.00E-05,0.000237487,0,0,0.00011988,0.000474499,0.00181,0.002496778,0.046166667,0.15989328,0.500897778,0.001242402,0.00181,0.002496778,1.44E-05,3.74E-05,0.00360012,0.004947212
5,0.25,0.5,0.5,0.000152,0.000217476,0.025,0.147901995,0.500073333,0.000110554,0.000152,0.000217476,5.33E-06,3.22E-05,0.000303856,0.000434718,0.000152,0.000217476,0.025,0.147901995,0.500073333,0.000110554,0.000152,0.000217476,5.33E-06,3.22E-05,0.000303856,0.000434718,0.157244,0.004541328,0.276040516,0.02090851,0.568629333,0.003027552,0.157244,0.004541328,0.019985333,0.001513776,0.25837003,0.007461926,0.000228,0.000354423,0.035,0.147751669,0.500109333,0.00017601,0.000228,0.000354423,9.33E-06,3.89E-05,0.000455623,0.000707986,1.20E-05,6.82E-05,0,0,0.500006,3.41E-05,1.20E-05,6.82E-05,0,0,2.40E-05,0.000136415,0.00032,0.000518459,0.048333333,0.161666667,0.500152667,0.000255481,0.00032,0.000518459,1.47E-05,4.58E-05,0.000639201,0.001034742
5,0.25,0.5,1,2.80E-05,0.000102059,0.025,0.147901995,0.500011333,5.17E-05,2.80E-05,0.000102059,5.33E-06,3.22E-05,5.60E-05,0.000204024,2.80E-05,0.000102059,0.025,0.147901995,0.500011333,5.17E-05,2.80E-05,0.000102059,5.33E-06,3.22E-05,5.60E-05,0.000204024,0.091536,0.004431422,0.578563536,0.020402497,0.524824,0.002954282,0.091536,0.004431422,0.041888,0.001477141,0.150404206,0.007281338,3.20E-05,0.000122376,0.03,0.155241747,0.500012667,6.01E-05,3.20E-05,0.000122376,6.67E-06,3.46E-05,6.40E-05,0.000244596,0,0,0,0,0.5,0,0,0,0,0,0,0,3.20E-05,0.000122376,0.03,0.155241747,0.500012667,6.01E-05,3.20E-05,0.000122376,6.67E-06,3.46E-05,6.40E-05,0.000244596
5,0.25,1,0.5,0.00198,0.000891516,0.006285714,0.037160435,0.500987333,0.000445989,0.00198,0.000891516,5.33E-06,3.22E-05,0.003950531,0.001775456,0.001984,0.000887099,0.006285714,0.037160435,0.500989333,0.000443794,0.001984,0.000887099,5.33E-06,3.22E-05,0.003958515,0.001766635,0.21114,0.001535057,0.027900552,0.007067482,0.60456,0.001023371,0.21114,0.001535057,0.00202,0.000511686,0.346927374,0.002522276,0.311988,0.018840421,0.037359452,0.006324728,0.653972,0.009281179,0.311988,0.018840421,0.004044,0.000772656,0.470921017,0.021399252,0.000872,0.00133072,0,0,0.500436,0.00066536,0.000872,0.00133072,0,0,0.00173896,0.002647581,0.414312,0.021860912,0.049529208,0.006707027,0.703548667,0.010651418,0.414312,0.021860912,0.007214667,0.001170435,0.576712078,0.020986337
5,0.25,1,1,0.000152,0.000217476,0.025,0.147901995,0.500073333,0.000110554,0.000152,0.000217476,5.33E-06,3.22E-05,0.000303856,0.000434718,0.000152,0.000217476,0.025,0.147901995,0.500073333,0.000110554,0.000152,0.000217476,5.33E-06,3.22E-05,0.000303856,0.000434718,0.157244,0.004541328,0.276040516,0.02090851,0.568629333,0.003027552,0.157244,0.004541328,0.019985333,0.001513776,0.25837003,0.007461926,0.000228,0.000354423,0.035,0.147751669,0.500109333,0.00017601,0.000228,0.000354423,9.33E-06,3.89E-05,0.000455623,0.000707986,1.20E-05,6.82E-05,0,0,0.500006,3.41E-05,1.20E-05,6.82E-05,0,0,2.40E-05,0.000136415,0.00032,0.000518459,0.048333333,0.161666667,0.500152667,0.000255481,0.00032,0.000518459,1.47E-05,4.58E-05,0.000639201,0.001034742
