n0,n1,1-Pi0,Effect,S0,S1,Power bonf,Power SD bonf,FDR bonf,FDR SD bonf,Accuracy bonf,Accuracy SD bonf,TPR bonf,TPR SD bonf,FPR bonf,FPR SD bonf,F1 bonf,F1 SD bonf,Power holm,Power SD holm,FDR holm,FDR SD holm,Accuracy holm,Accuracy SD holm,TPR holm,TPR SD holm,FPR holm,FPR SD holm,F1 holm,F1 SD holm,Power sg,Power SD sg,FDR sg,FDR SD sg,Accuracy sg,Accuracy SD sg,TPR sg,TPR SD sg,FPR sg,FPR SD sg,F1 sg,F1 SD sg,Power bh,Power SD bh,FDR bh,FDR SD bh,Accuracy bh,Accuracy SD bh,TPR bh,TPR SD bh,FPR bh,FPR SD bh,F1 bh,F1 SD bh,Power by,Power SD by,FDR by,FDR SD by,Accuracy by,Accuracy SD by,TPR by,TPR SD by,FPR by,FPR SD by,F1 by,F1 SD by,Power Q,Power SD Q,FDR Q,FDR SD Q,Accuracy Q,Accuracy SD Q,TPR Q,TPR SD Q,FPR Q,FPR SD Q,F1 Q,F1 SD Q
5,5,0.25,0.5,0.5,0.5,5.33E-05,0.000135974,0,0,0.500026667,6.80E-05,5.33E-05,0.000135974,0,0,0.000106624,0.000271839,5.33E-05,0.000135974,0,0,0.500026667,6.80E-05,5.33E-05,0.000135974,0,0,0.000106624,0.000271839,0.158373333,0.003993239,0.270841007,0.018385077,0.569382222,0.002662159,0.158373333,0.003993239,0.019608889,0.00133108,0.260225655,0.006561352,6.40E-05,0.000167045,0.02,0.14,0.500030667,8.45E-05,6.40E-05,0.000167045,2.67E-06,1.87E-05,0.000127936,0.0003339,1.33E-05,7.18E-05,0,0,0.500006667,3.59E-05,1.33E-05,7.18E-05,0,0,2.67E-05,0.000143547,8.00E-05,0.000190438,0,0,0.50004,9.52E-05,8.00E-05,0.000190438,0,0,0.000159915,0.000380643
5,5,0.25,0.5,0.5,1,1.33E-05,7.18E-05,0.033333333,0.179505494,0.500004444,3.82E-05,1.33E-05,7.18E-05,4.44E-06,2.39E-05,2.67E-05,0.000143547,1.33E-05,7.18E-05,0.033333333,0.179505494,0.500004444,3.82E-05,1.33E-05,7.18E-05,4.44E-06,2.39E-05,2.67E-05,0.000143547,0.1054,0.004988253,0.514732965,0.022966173,0.534066667,0.003325502,0.1054,0.004988253,0.037266667,0.001662751,0.173184358,0.008196275,1.60E-05,7.84E-05,0.03,0.155241747,0.500005333,3.49E-05,1.60E-05,7.84E-05,5.33E-06,2.61E-05,3.20E-05,0.000156673,0,0,0,0,0.5,0,0,0,0,0,0,0,1.33E-05,7.18E-05,0.033333333,0.179505494,0.500004444,3.82E-05,1.33E-05,7.18E-05,4.44E-06,2.39E-05,2.67E-05,0.000143547
5,5,0.25,0.5,1,0.5,2.67E-05,9.98E-05,0.033333333,0.179505494,0.500011111,5.19E-05,2.67E-05,9.98E-05,4.44E-06,2.39E-05,5.33E-05,0.000199475,2.67E-05,9.98E-05,0.033333333,0.179505494,0.500011111,5.19E-05,2.67E-05,9.98E-05,4.44E-06,2.39E-05,5.33E-05,0.000199475,0.106586667,0.004525169,0.50926949,0.020834112,0.534857778,0.003016779,0.106586667,0.004525169,0.036871111,0.00150839,0.175134188,0.007435375,2.40E-05,9.50E-05,0.06,0.237486842,0.500008,5.10E-05,2.40E-05,9.50E-05,8.00E-06,3.17E-05,4.80E-05,0.000189914,0,0,0,0,0.5,0,0,0,0,0,0,0,2.67E-05,9.98E-05,0.066666667,0.249443826,0.500008889,5.37E-05,2.67E-05,9.98E-05,8.89E-06,3.33E-05,5.33E-05,0.000199475
5,5,0.25,0.5,1,1,1.33E-05,7.18E-05,0,0,0.500006667,3.59E-05,1.33E-05,7.18E-05,0,0,2.67E-05,0.000143547,1.33E-05,7.18E-05,0,0,0.500006667,3.59E-05,1.33E-05,7.18E-05,0,0,2.67E-05,0.000143547,0.091906667,0.00496138,0.575565869,0.023445825,0.525177778,0.003333259,0.091906667,0.00496138,0.041551111,0.001791662,0.151093493,0.008173451,8.00E-06,5.60E-05,0.02,0.14,0.500002667,2.97E-05,8.00E-06,5.60E-05,2.67E-06,1.87E-05,1.60E-05,0.000111955,0,0,0,0,0.5,0,0,0,0,0,0,0,1.33E-05,7.18E-05,0,0,0.500006667,3.59E-05,1.33E-05,7.18E-05,0,0,2.67E-05,0.000143547
5,5,0.25,1,0.5,0.5,0.000866667,0.000594045,0,0,0.500433333,0.000297022,0.000866667,0.000594045,0,0,0.001731129,0.001185677,0.000866667,0.000594045,0,0,0.500433333,0.000297022,0.000866667,0.000594045,0,0,0.001731129,0.001185677,0.210986667,0.001658058,0.028606507,0.007633783,0.604457778,0.001105372,0.210986667,0.001658058,0.002071111,0.000552686,0.34667543,0.00272438,0.16944,0.025746332,0.023971171,0.006494991,0.584024,0.012764783,0.16944,0.025746332,0.001392,0.000442345,0.287908438,0.037366351,0.000186667,0.000422479,0,0,0.500093333,0.00021124,0.000186667,0.000422479,0,0,0.000372907,0.000843615,0.280066667,0.024221882,0.034767286,0.007469882,0.63834,0.011878887,0.280066667,0.024221882,0.003386667,0.000870657,0.433551606,0.029459543
5,5,0.25,1,0.5,1,0.000253333,0.000282528,0.016666667,0.089752747,0.500124444,0.000140616,0.000253333,0.000282528,4.44E-06,2.39E-05,0.000506368,0.00056457,0.000253333,0.000282528,0.016666667,0.089752747,0.500124444,0.000140616,0.000253333,0.000282528,4.44E-06,2.39E-05,0.000506368,0.00056457,0.177213333,0.004015282,0.184100675,0.018486565,0.581942222,0.002676855,0.177213333,0.004015282,0.013328889,0.001338427,0.291181948,0.006597571,0.000784,0.001027494,0.043810245,0.10395613,0.500377333,0.000493803,0.000784,0.001027494,2.93E-05,6.13E-05,0.00156428,0.002047844,1.33E-05,7.18E-05,0,0,0.500006667,3.59E-05,1.33E-05,7.18E-05,0,0,2.67E-05,0.000143547,0.001746667,0.001732769,0.045489418,0.069526443,0.500844444,0.000831836,0.001746667,0.001732769,5.78E-05,8.90E-05,0.003479961,0.003443691
5,5,0.25,1,1,0.5,0.00016,0.00022151,0.033333333,0.179505494,0.500077778,0.000112984,0.00016,0.00022151,4.44E-06,2.39E-05,0.000319851,0.000442781,0.00016,0.00022151,0.033333333,0.179505494,0.500077778,0.000112984,0.00016,0.00022151,4.44E-06,2.39E-05,0.000319851,0.000442781,0.17736,0.003266966,0.183425414,0.01504128,0.58204,0.002177977,0.17736,0.003266966,0.01328,0.001088989,0.291422938,0.005368002,0.000864,0.001344286,0.047585581,0.15601084,0.500418667,0.000657948,0.000864,0.001344286,2.67E-05,6.53E-05,0.001722538,0.002675986,4.00E-05,0.00012,0,0,0.50002,6.00E-05,4.00E-05,0.00012,0,0,8.00E-05,0.000239904,0.001893333,0.002465621,0.049278711,0.098508074,0.50092,0.001208292,0.001893333,0.002465621,5.33E-05,0.000100958,0.003766138,0.00488858
5,5,0.25,1,1,1,5.33E-05,0.000135974,0,0,0.500026667,6.80E-05,5.33E-05,0.000135974,0,0,0.000106624,0.000271839,5.33E-05,0.000135974,0,0,0.500026667,6.80E-05,5.33E-05,0.000135974,0,0,0.000106624,0.000271839,0.158373333,0.003993239,0.270841007,0.018385077,0.569382222,0.002662159,0.158373333,0.003993239,0.019608889,0.00133108,0.260225655,0.006561352,6.40E-05,0.000167045,0.02,0.14,0.500030667,8.45E-05,6.40E-05,0.000167045,2.67E-06,1.87E-05,0.000127936,0.0003339,1.33E-05,7.18E-05,0,0,0.500006667,3.59E-05,1.33E-05,7.18E-05,0,0,2.67E-05,0.000143547,8.00E-05,0.000190438,0,0,0.50004,9.52E-05,8.00E-05,0.000190438,0,0,0.000159915,0.000380643
5,5,0.25,1.5,0.5,0.5,0.007573333,0.001909788,0,0,0.503786667,0.000954894,0.007573333,0.001909788,0,0,0.01502569,0.003760468,0.0076,0.00191555,0,0,0.5038,0.000957775,0.0076,0.00191555,0,0,0.015078181,0.003771881,0.216546667,0.000431844,0.00300798,0.00198823,0.608164444,0.000287896,0.216546667,0.000431844,0.000217778,0.000143948,0.355811151,0.000709569,0.840112,0.011053047,0.028429764,0.003699224,0.915954667,0.005341368,0.840112,0.011053047,0.008202667,0.001132075,0.901023172,0.006111007,0.112293333,0.020749923,0.002318781,0.002919151,0.556102222,0.01036305,0.112293333,0.020749923,8.89E-05,0.000110666,0.201230985,0.033872261,0.888306667,0.007721612,0.038435799,0.004288957,0.938231111,0.003730028,0.888306667,0.007721612,0.011844444,0.001400987,0.923459217,0.004228559
5,5,0.25,1.5,0.5,1,0.001386667,0.000513636,0.008333333,0.044876373,0.500691111,0.000257902,0.001386667,0.000513636,4.44E-06,2.39E-05,0.002768935,0.001024676,0.001386667,0.000513636,0.008333333,0.044876373,0.500691111,0.000257902,0.001386667,0.000513636,4.44E-06,2.39E-05,0.002768935,0.001024676,0.206226667,0.002310979,0.050521793,0.010639865,0.601284444,0.001540652,0.206226667,0.002310979,0.003657778,0.000770326,0.338854201,0.003797204,0.122808,0.017971086,0.036594166,0.008957568,0.560626667,0.008890424,0.122808,0.017971086,0.001554667,0.000438673,0.217379295,0.028415075,0.00032,0.000520513,0,0,0.50016,0.000260256,0.00032,0.000520513,0,0,0.000639254,0.001039519,0.18964,0.021228497,0.048031905,0.009663296,0.593217778,0.010419767,0.18964,0.021228497,0.003204444,0.000788422,0.315710007,0.029632645
