n0,n1,1-Pi0,Effect,S0,S1,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
5,5,0.25,0.5,0.5,0.5,6.4e-05,0.00016704490414256882,0.02,0.13999999999999999,0.5000306666666667,8.454847393325837e-05,6.4e-05,0.00016704490414256882,2.666666666666373e-06,1.8666666666664612e-05,0.00012793603581748756,0.000333899903837816
5,5,0.25,0.5,0.5,1.0,1.6e-05,7.838367176906171e-05,0.03,0.15524174696260024,0.5000053333333334,3.487119154832155e-05,1.6e-05,7.838367176906171e-05,5.333333333332746e-06,2.6127890589684355e-05,3.198081279079096e-05,0.0001566733490539377
5,5,0.25,0.5,1.0,0.5,2.4e-05,9.499473669630335e-05,0.06,0.23748684174075835,0.500008,5.101633725255169e-05,2.4e-05,9.499473669630335e-05,7.999999999999119e-06,3.166491223209763e-05,4.7980807676929235e-05,0.00018991350798941095
5,5,0.25,0.5,1.0,1.0,8e-06,5.6000000000000006e-05,0.02,0.13999999999999999,0.5000026666666666,2.9694743268423514e-05,8e-06,5.6000000000000006e-05,2.666666666666373e-06,1.8666666666664612e-05,1.5993602558976413e-05,0.00011195521791283488
5,5,0.25,1.0,0.5,0.5,0.16943999999999998,0.025746331777556197,0.023971170773395056,0.00649499117708297,0.5840239999999999,0.012764783220512077,0.16943999999999998,0.025746331777556197,0.0013919999999999976,0.0004423452648478661,0.2879084377037143,0.03736635090481846
5,5,0.25,1.0,0.5,1.0,0.000784,0.0010274940389121486,0.04381024531024531,0.10395612996884224,0.5003773333333332,0.0004938033796743189,0.000784,0.0010274940389121486,2.9333333333330104e-05,6.133333333332658e-05,0.0015642803335846984,0.0020478441664365517
5,5,0.25,1.0,1.0,0.5,0.0008640000000000001,0.0013442856839228782,0.04758558108558109,0.15601084007132834,0.5004186666666667,0.0006579483262384671,0.0008640000000000001,0.0013442856839228782,2.666666666666373e-05,6.53197264742109e-05,0.0017225382906111508,0.0026759855787483935
5,5,0.25,1.0,1.0,1.0,6.4e-05,0.00016704490414256882,0.02,0.13999999999999999,0.5000306666666667,8.454847393325837e-05,6.4e-05,0.00016704490414256882,2.666666666666373e-06,1.8666666666664612e-05,0.00012793603581748756,0.000333899903837816
5,5,0.25,1.5,0.5,0.5,0.8401119999999999,0.011053047362605482,0.02842976373779657,0.0036992242866575277,0.9159546666666667,0.005341367947965715,0.8401119999999999,0.011053047362605482,0.008202666666666662,0.0011320745951079762,0.9010231715582502,0.006111007026880956
5,5,0.25,1.5,0.5,1.0,0.12280800000000001,0.017971086110750236,0.036594165637098885,0.008957568178538631,0.5606266666666667,0.008890424311833747,0.12280800000000001,0.017971086110750236,0.0015546666666666664,0.0004386727456519086,0.2173792946002597,0.028415074745583538
5,5,0.25,1.5,1.0,0.5,0.12425599999999999,0.017699674121293873,0.04002164144126131,0.009656438098232623,0.5612613333333334,0.008729330787637728,0.12425599999999999,0.017699674121293873,0.0017333333333333335,0.0005059644256269453,0.21957157818795778,0.027976943139981048
5,5,0.25,1.5,1.0,1.0,0.000888,0.0010919047577513344,0.012222222222222223,0.07139699478407709,0.5004413333333333,0.0005438774371737406,0.000888,0.0010919047577513344,5.333333333332746e-06,2.6127890589684355e-05,0.0017719932372268932,0.0021758527388867992
5,15,0.25,0.5,0.5,0.5,0.032616,0.00660337368320164,0.09547185593061616,0.03217764345894684,0.515724,0.0031799653387349354,0.032616,0.00660337368320164,0.0011680000000000024,0.0004935567061870512,0.06287054887203061,0.012292759842016615
5,15,0.25,0.5,0.5,1.0,0.00084,0.0011899579824514814,0.04209523809523809,0.11641414848829144,0.5004053333333333,0.0005836041276223007,0.00084,0.0011899579824514814,2.9333333333330104e-05,7.677962692739405e-05,0.0016754476441004184,0.0023695928049245725
5,15,0.25,0.5,1.0,0.5,0.003792,0.0015330805588748427,0.4443971944106855,0.12323634050835654,0.5013813333333332,0.0006948752086206381,0.003792,0.0015330805588748427,0.0010293333333333354,0.000471811638498061,0.007525696656872232,0.0030261470984691194
5,15,0.25,0.5,1.0,1.0,0.00092,0.0009303762679690405,0.25950793650793647,0.33575526936599137,0.5003920000000001,0.0004447501171069703,0.00092,0.0009303762679690405,0.00013599999999998946,0.00016544082527195262,0.0018355324655831044,0.0018550699645220761
5,15,0.25,1.0,0.5,0.5,0.5930080000000001,0.017486404318784357,0.052642670319166404,0.005734557519846588,0.7910066666666666,0.008558351346946312,0.5930080000000001,0.017486404318784357,0.010994666666666677,0.0013197198355880111,0.7292622811509972,0.013322461357311617
5,15,0.25,1.0,0.5,1.0,0.37715200000000004,0.014389694089868624,0.037037531673597385,0.006385822742676339,0.6861586666666666,0.0072022822308858,0.37715200000000004,0.014389694089868624,0.004834666666666669,0.0008431939278718749,0.5418644485536721,0.015114611024802015
5,15,0.25,1.0,1.0,0.5,0.03572,0.0056189678767545916,0.1798562813384109,0.03642734160785763,0.5165626666666667,0.0027389912173807532,0.03572,0.0056189678767545916,0.0025946666666666696,0.0005837564179994526,0.0684008787620027,0.010382488674857119
5,15,0.25,1.0,1.0,1.0,0.032616,0.00660337368320164,0.09547185593061616,0.03217764345894684,0.515724,0.0031799653387349354,0.032616,0.00660337368320164,0.0011680000000000024,0.0004935567061870512,0.06287054887203061,0.012292759842016615
5,15,0.25,1.5,0.5,0.5,0.9450879999999999,0.004983197367152948,0.04861027177539679,0.004477127840965316,0.964492,0.0025167841915163624,0.9450879999999999,0.004983197367152948,0.016104,0.0015645608542548487,0.9482157291933611,0.003231171778973362
5,15,0.25,1.5,0.5,1.0,0.896536,0.0058326583990492824,0.036353501988022306,0.0037809970258853836,0.9426293333333333,0.003041290953964564,0.896536,0.0058326583990492824,0.011277333333333335,0.0012018030898057637,0.9288692930694963,0.003839115782307697
5,15,0.25,1.5,1.0,0.5,0.18412800000000001,0.01344343765559985,0.09262739094764204,0.013064898857306446,0.5889279999999999,0.006566376846396261,0.18412800000000001,0.01344343765559985,0.006272000000000007,0.0010440808823500673,0.30590569982393334,0.018706156698052954
5,15,0.25,1.5,1.0,1.0,0.24568000000000004,0.013611994710548485,0.06346054952215505,0.0088873848773053,0.6200613333333334,0.006662276421097446,0.24568000000000004,0.013611994710548485,0.005557333333333334,0.000884610146398463,0.38904607115102197,0.017117402245078902
15,5,0.25,0.5,0.5,0.5,0.033248,0.006859336411053185,0.0980963550284284,0.033223385553602075,0.5160213333333333,0.0033550079317674077,0.033248,0.006859336411053185,0.0012053333333333382,0.0004931242800304554,0.06404146722063278,0.01275631224083558
15,5,0.25,0.5,0.5,1.0,0.004224,0.0017819719414177092,0.42219196926380215,0.12753274304579149,0.5015653333333333,0.0007828426832171738,0.004224,0.0017819719414177092,0.0010933333333333262,0.0006092618484691149,0.008375678944158093,0.003510166744337102
