n0,n1,1-Pi0,Effect,S0,S1,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
5,5,0.25,0.5,0.5,0.5,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,0.5000066666666666,3.590109871422607e-05,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,2.6656004264960686e-05,0.00014354697606649356
5,5,0.25,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.25,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.25,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.25,1.0,0.5,0.5,0.0001866666666666667,0.0004224794538067962,0.0,0.0,0.5000933333333334,0.00021123972690339073,0.0001866666666666667,0.0004224794538067962,0.0,0.0,0.00037290731404848997,0.0008436149831557633
5,5,0.25,1.0,0.5,1.0,1.3333333333333333e-05,7.180219742846006e-05,0.0,0.0,0.5000066666666666,3.590109871422607e-05,1.3333333333333333e-05,7.180219742846006e-05,0.0,0.0,2.6656004264960686e-05,0.0001435469760664935
5,5,0.25,1.0,1.0,0.5,4e-05,0.00012,0.0,0.0,0.5000199999999999,5.99999999999934e-05,4e-05,0.00012,0.0,0.0,7.996801279488206e-05,0.00023990403838464617
5,5,0.25,1.0,1.0,1.0,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,0.5000066666666666,3.590109871422607e-05,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,2.6656004264960686e-05,0.00014354697606649356
5,5,0.25,1.5,0.5,0.5,0.11229333333333333,0.020749922623684382,0.002318780782978067,0.0029191507301834117,0.5561022222222222,0.01036305022069,0.11229333333333333,0.020749922623684382,8.88888888888791e-05,0.00011066577420433211,0.20123098524779506,0.03387226090748689
5,5,0.25,1.5,0.5,1.0,0.00031999999999999997,0.0005205125678918169,0.0,0.0,0.5001599999999999,0.00026025628394591344,0.00031999999999999997,0.0005205125678918169,0.0,0.0,0.0006392543558235333,0.0010395192427697824
5,5,0.25,1.5,1.0,0.5,0.00017333333333333336,0.00026699979192667714,0.0,0.0,0.5000866666666666,0.00013349989596332388,0.00017333333333333336,0.00026699979192667714,0.0,0.0,0.00034646413217287025,0.000533636050527316
5,5,0.25,1.5,1.0,1.0,2.6666666666666667e-05,9.977753031397176e-05,0.0,0.0,0.5000133333333333,4.988876515698039e-05,2.6666666666666667e-05,9.977753031397176e-05,0.0,0.0,5.331200852992137e-05,0.00019947527051973564
5,15,0.25,0.5,0.5,0.5,0.002306666666666667,0.0012293449023316803,0.03992063492063492,0.08086289015539325,0.5011333333333333,0.0006083371384964738,0.002306666666666667,0.0012293449023316803,3.999999999999559e-05,9.20547341209142e-05,0.004599046574359665,0.002447718056679177
5,15,0.25,0.5,0.5,1.0,6.666666666666667e-05,0.00018135294011647265,0.0,0.0,0.5000333333333333,9.06764700582263e-05,6.666666666666667e-05,0.00018135294011647265,0.0,0.0,0.00013325871356759724,0.00036247470205152976
5,15,0.25,0.5,1.0,0.5,0.0009466666666666667,0.0007482126851519039,0.32694444444444437,0.31841391747143555,0.5003888888888888,0.0003515398226568147,0.0009466666666666667,0.0007482126851519039,0.00016888888888887398,0.00015370325747368591,0.0018892053365505155,0.0014918351343010412
5,15,0.25,0.5,1.0,1.0,4e-05,0.00012000000000000002,0.06666666666666667,0.24944382578492943,0.5000133333333333,6.754970734919552e-05,4e-05,0.00012000000000000002,1.3333333333331865e-05,5.2774853720162706e-05,7.996801279488206e-05,0.00023990403838464617
5,15,0.25,1.0,0.5,0.5,0.18284000000000003,0.011053011655954532,0.011420979817363865,0.00543389083303191,0.5910666666666667,0.005502888130589046,0.18284000000000003,0.011053011655954532,0.0007066666666666777,0.00034279893685818777,0.3084522298018134,0.015765985992263833
5,15,0.25,1.0,0.5,1.0,0.03036,0.009282154922214991,0.005128428493948077,0.009977723972531317,0.5151555555555555,0.0046438596123015265,0.03036,0.009282154922214991,4.88888888888835e-05,8.765814632583932e-05,0.05876613754903179,0.017385612549423637
5,15,0.25,1.0,1.0,0.5,0.007520000000000001,0.002466630630367398,0.12422821127864986,0.0714265160977348,0.5035866666666666,0.001212942550012005,0.007520000000000001,0.002466630630367398,0.0003466666666666581,0.00020250285777591726,0.014899790799563082,0.004850144364801912
5,15,0.25,1.0,1.0,1.0,0.002306666666666667,0.0012293449023316803,0.03992063492063492,0.08086289015539325,0.5011333333333333,0.0006083371384964738,0.002306666666666667,0.0012293449023316803,3.999999999999559e-05,9.20547341209142e-05,0.004599046574359665,0.002447718056679177
5,15,0.25,1.5,0.5,0.5,0.5785199999999999,0.014008816271667408,0.008927799528254166,0.0026570199165061284,0.7883888888888888,0.0069120846045348,0.5785199999999999,0.014008816271667408,0.0017422222222222153,0.000539885676055473,0.7304705079937838,0.011048527539467286
5,15,0.25,1.5,0.5,1.0,0.5232800000000001,0.01293074888266982,0.0035753312933407802,0.0017324508004526288,0.7613266666666667,0.006453832625313079,0.5232800000000001,0.01293074888266982,0.0006266666666666753,0.00030433899228035806,0.6861021043953719,0.01114476758043583
5,15,0.25,1.5,1.0,0.5,0.03352,0.004962150071625538,0.06045755664797492,0.0268629067320174,0.5164044444444443,0.0024726613842149152,0.03352,0.004962150071625538,0.0007111111111111179,0.0003217237523707448,0.06468699362670069,0.009276779092938437
5,15,0.25,1.5,1.0,1.0,0.04344,0.006423789120656644,0.015409050034305384,0.013705463641416596,0.5216066666666667,0.003203024034090744,0.04344,0.006423789120656644,0.0002266666666666528,0.00020983238460645364,0.08313556449542542,0.01179779315147266
15,5,0.25,0.5,0.5,0.5,0.00228,0.0015871147826585614,0.009325396825396825,0.02890362980794243,0.5011333333333334,0.0007859884081700996,0.00228,0.0015871147826585614,1.3333333333331865e-05,3.9999999999995605e-05,0.004544298428320733,0.0031576044777293887
15,5,0.25,0.5,0.5,1.0,0.0008133333333333336,0.0008032157590308819,0.2843650793650794,0.31651084203662305,0.5003088888888889,0.00035631169597890634,0.0008133333333333336,0.0008032157590308819,0.0001955555555555488,0.00023025482394646926,0.0016225416409125632,0.0016003574338236883
15,5,0.25,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5,0.25,0.5,1.0,1.0,6.666666666666667e-05,0.00014907119849998598,0.0,0.0,0.5000333333333333,7.453559924998478e-05,6.666666666666667e-05,0.00014907119849998598,0.0,0.0,0.00013328002132480344,0.00029802318772488204
15,5,0.25,1.0,0.5,0.5,0.17733333333333334,0.01164787057315151,0.012244266335308777,0.005304415728589978,0.5883044444444446,0.005874708713556424,0.17733333333333334,0.01164787057315151,0.0007244444444444461,0.00030342896335464086,0.3005278392794249,0.016937601745305998
15,5,0.25,1.0,0.5,1.0,0.007586666666666666,0.0020330163687377325,0.15303078753321767,0.07696546430106035,0.5035688888888888,0.001018456833148887,0.007586666666666666,0.0020330163687377325,0.000448888888888895,0.0002372267759125967,0.015030818551940356,0.003998326333073508
15,5,0.25,1.0,1.0,0.5,0.0288,0.010283968105745951,0.00304363139923761,0.006008769325086902,0.5143844444444444,0.005134882402153986,0.0288,0.010283968105745951,3.111111111110769e-05,5.639367795754722e-05,0.05578817085374156,0.019360772464428046
15,5,0.25,1.0,1.0,1.0,0.00228,0.0015871147826585614,0.009325396825396825,0.02890362980794243,0.5011333333333334,0.0007859884081700996,0.00228,0.0015871147826585614,1.3333333333331865e-05,3.9999999999995605e-05,0.004544298428320733,0.0031576044777293887
15,5,0.25,1.5,0.5,0.5,0.5752266666666668,0.010107124000206759,0.00940132109472458,0.003228205804533882,0.7867022222222221,0.005035775223216924,0.5752266666666668,0.010107124000206759,0.001822222222222214,0.0006304221591643529,0.7277641497286816,0.00812760664812496
15,5,0.25,1.5,0.5,1.0,0.03286666666666666,0.0053527147836920615,0.06805149069868856,0.03300887162196652,0.51604,0.0027060207220470666,0.03286666666666666,0.0053527147836920615,0.0007866666666666763,0.00037293629681418524,0.063446175257398,0.010019687639335074
15,5,0.25,1.5,1.0,0.5,0.51944,0.010085289617391585,0.0034782130447489302,0.0015612554061134908,0.7594177777777776,0.00504688927538782,0.51944,0.010085289617391585,0.0006044444444444519,0.0002704910943058373,0.6828530911897386,0.008721973363627603
15,5,0.25,1.5,1.0,1.0,0.04223999999999999,0.006993787719588483,0.015201926532863251,0.00961999351325875,0.5210155555555556,0.0035132208851215694,0.04223999999999999,0.006993787719588483,0.00020888888888886958,0.00012734710028350122,0.08092247897244072,0.012849094574278543
15,15,0.25,0.5,0.5,0.5,0.04814666666666666,0.009958036397246642,0.0034540651989627426,0.004785482912468546,0.5240466666666667,0.004980618732945034,0.04814666666666666,0.009958036397246642,5.333333333332746e-05,7.383665655926364e-05,0.0916838468711511,0.018147387671873516
15,15,0.25,0.5,0.5,1.0,0.0002,0.00032249030993194197,0.016666666666666666,0.08975274678557504,0.5000977777777779,0.00016030834486107336,0.0002,0.00032249030993194197,4.4444444444439546e-06,2.393406580948404e-05,0.00039970158909123215,0.0006443990876867042
15,15,0.25,0.5,1.0,0.5,0.00017333333333333336,0.00038204130085051747,0.0,0.0,0.5000866666666667,0.00019102065042525537,0.00017333333333333336,0.00038204130085051747,0.0,0.0,0.0003463152330551479,0.0007627596984237703
15,15,0.25,0.5,1.0,1.0,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,0.5000066666666666,3.590109871422607e-05,1.3333333333333333e-05,7.180219742846007e-05,0.0,0.0,2.6656004264960686e-05,0.00014354697606649356
15,15,0.25,1.0,0.5,0.5,0.95412,0.004627050896629519,0.00332496202236551,0.0012892862947572123,0.9765288888888889,0.0022482871395194124,0.95412,0.004627050896629519,0.0010622222222222237,0.00041524052229763346,0.9749261693225583,0.0022821815356170736
15,15,0.25,1.0,0.5,1.0,0.2661733333333334,0.017052603580945902,0.004493141850763063,0.0027459441904434502,0.6328866666666666,0.008523886263731885,0.2661733333333334,0.017052603580945902,0.00040000000000000034,0.00024343224778009567,0.41975551038413544,0.021084449778672437
15,15,0.25,1.0,1.0,0.5,0.2682533333333333,0.013379579797420977,0.0046396123235484055,0.0023316663911191705,0.6339177777777779,0.006676053021854857,0.2682533333333333,0.013379579797420977,0.0004177777777777651,0.0002142572585456899,0.42243467692609277,0.016572444039571498
15,15,0.25,1.0,1.0,1.0,0.04814666666666666,0.009958036397246642,0.0034540651989627426,0.004785482912468546,0.5240466666666667,0.004980618732945034,0.04814666666666666,0.009958036397246642,5.333333333332746e-05,7.383665655926364e-05,0.0916838468711511,0.018147387671873516
15,15,0.25,1.5,0.5,0.5,0.9999866666666667,7.180219742845217e-05,0.003347311735820465,0.001224586140671936,0.9994333333333333,0.0002182421353213735,0.9999866666666667,7.180219742845217e-05,0.0011200000000000025,0.0004111051050612254,0.9983165279797064,0.0006253409325084431
15,15,0.25,1.5,0.5,1.0,0.8908133333333333,0.006794102017354631,0.003978415610387264,0.0012096961997167949,0.9448133333333334,0.0033873577597579815,0.8908133333333333,0.006794102017354631,0.0011866666666666729,0.00036327726376745304,0.9404699958891373,0.003810283274045376
15,15,0.25,1.5,1.0,0.5,0.89192,0.005750733286576013,0.0040053557310208016,0.0011075467783711313,0.9453622222222221,0.0029091774748624174,0.89192,0.005750733286576013,0.0011955555555555534,0.0003310738234037926,0.9410792882916011,0.0033361892402215946
15,15,0.25,1.5,1.0,1.0,0.627,0.012031403354001009,0.0033483780116858124,0.0015130385137036224,0.8131488888888889,0.006022198031931736,0.627,0.012031403354001009,0.00070222222222223,0.00031539902220818023,0.7696806165210931,0.00905783623551071
