n0,1-Pi0,Effect,S0,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
5,0.09999999999999998,0.5,0.5,0.11040000000000001,0.008639444426582073,0.8006796664624692,0.014700594303821536,0.5305388888888889,0.0043917044414708,0.11040000000000001,0.008639444426582073,0.049322222222222226,0.002745793640470697,0.1420200135913983,0.010390482584538131
5,0.09999999999999998,0.5,1.0,0.11040000000000001,0.008639444426582073,0.8006796664624692,0.014700594303821536,0.5305388888888889,0.0043917044414708,0.11040000000000001,0.008639444426582073,0.049322222222222226,0.002745793640470697,0.1420200135913983,0.010390482584538131
5,0.09999999999999998,1.0,0.5,0.28609999999999997,0.01039663407069806,0.6077906594044578,0.013745493602207769,0.6183888888888889,0.0049990122481136465,0.28609999999999997,0.01039663407069806,0.049322222222222226,0.002745793640470697,0.3307273247413055,0.009884589937630922
5,0.09999999999999998,1.0,1.0,0.28609999999999997,0.01039663407069806,0.6077906594044578,0.013745493602207769,0.6183888888888889,0.0049990122481136465,0.28609999999999997,0.01039663407069806,0.049322222222222226,0.002745793640470697,0.3307273247413055,0.009884589937630922
5,0.09999999999999998,1.5,0.5,0.5485,0.016746641454333442,0.4470815011634337,0.01463176555482643,0.7495888888888889,0.008271780079221892,0.5485,0.016746641454333442,0.049322222222222226,0.002745793640470697,0.5505604898746821,0.01302742162456203
5,0.09999999999999998,1.5,1.0,0.5485,0.016746641454333442,0.4470815011634337,0.01463176555482643,0.7495888888888889,0.008271780079221892,0.5485,0.016746641454333442,0.049322222222222226,0.002745793640470697,0.5505604898746821,0.01302742162456203
5,0.25,0.5,0.5,0.11091999999999999,0.005294676571803041,0.5743894029939556,0.02454642514099152,0.5304800000000001,0.0039167787218013245,0.11091999999999999,0.005294676571803041,0.04996000000000002,0.0028503722953716476,0.17596688952342018,0.008681687878784683
5,0.25,0.5,1.0,0.11091999999999999,0.005294676571803041,0.5743894029939556,0.02454642514099152,0.5304800000000001,0.0039167787218013245,0.11091999999999999,0.005294676571803041,0.04996000000000002,0.0028503722953716476,0.17596688952342018,0.008681687878784683
5,0.25,1.0,0.5,0.28759999999999997,0.008814533453337162,0.3425457553919039,0.017204222000029672,0.6188199999999999,0.005245616159126484,0.28759999999999997,0.008814533453337162,0.04996000000000002,0.0028503722953716476,0.4001197204525451,0.011148703410196886
5,0.25,1.0,1.0,0.28759999999999997,0.008814533453337162,0.3425457553919039,0.017204222000029672,0.6188199999999999,0.005245616159126484,0.28759999999999997,0.008814533453337162,0.04996000000000002,0.0028503722953716476,0.4001197204525451,0.011148703410196886
5,0.25,1.5,0.5,0.55004,0.012299528446245394,0.21415811564939463,0.012143722511793239,0.7500399999999999,0.007067245259332323,0.55004,0.012299528446245394,0.04996000000000002,0.0028503722953716476,0.6470966351309837,0.011958989828907684
5,0.25,1.5,1.0,0.55004,0.012299528446245394,0.21415811564939463,0.012143722511793239,0.7500399999999999,0.007067245259332323,0.55004,0.012299528446245394,0.04996000000000002,0.0028503722953716476,0.6470966351309837,0.011958989828907684
5,0.5,0.5,0.5,0.10788,0.0033896312483808633,0.3074803120483289,0.015956072808708675,0.52999,0.0025773823930491948,0.10788,0.0033896312483808633,0.04790000000000001,0.0027250688064707623,0.1866692312462793,0.00551159465177295
5,0.5,0.5,1.0,0.10788,0.0033896312483808633,0.3074803120483289,0.015956072808708675,0.52999,0.0025773823930491948,0.10788,0.0033896312483808633,0.04790000000000001,0.0027250688064707623,0.1866692312462793,0.00551159465177295
5,0.5,1.0,0.5,0.28454,0.004633832107446279,0.14407691933600542,0.00769527001454073,0.61832,0.0029667490625261894,0.28454,0.004633832107446279,0.04790000000000001,0.0027250688064707623,0.4270809550613522,0.005744124971358854
5,0.5,1.0,1.0,0.28454,0.004633832107446279,0.14407691933600542,0.00769527001454073,0.61832,0.0029667490625261894,0.28454,0.004633832107446279,0.04790000000000001,0.0027250688064707623,0.4270809550613522,0.005744124971358854
5,0.5,1.5,0.5,0.54796,0.005422029140460252,0.08037016676258145,0.004142230116405073,0.75003,0.0028390315250099076,0.54796,0.005422029140460252,0.04790000000000001,0.0027250688064707623,0.6867131403523892,0.004447060176371079
5,0.5,1.5,1.0,0.54796,0.005422029140460252,0.08037016676258145,0.004142230116405073,0.75003,0.0028390315250099076,0.54796,0.005422029140460252,0.04790000000000001,0.0027250688064707623,0.6867131403523892,0.004447060176371079
15,0.09999999999999998,0.5,0.5,0.26580000000000004,0.007820485918406856,0.6353438216268082,0.010259599119259137,0.60715,0.0036586655126334493,0.26580000000000004,0.007820485918406856,0.051500000000000004,0.002305789814069493,0.30739085930403515,0.007170801945988721
15,0.09999999999999998,0.5,1.0,0.26580000000000004,0.007820485918406856,0.6353438216268082,0.010259599119259137,0.60715,0.0036586655126334493,0.26580000000000004,0.007820485918406856,0.051500000000000004,0.002305789814069493,0.30739085930403515,0.007170801945988721
15,0.09999999999999998,1.0,0.5,0.7556,0.01674634288434345,0.38011949625145136,0.014019846815527683,0.85205,0.009020362766787427,0.7556,0.01674634288434345,0.051500000000000004,0.002305789814069493,0.6810044369743651,0.014339208724829813
15,0.09999999999999998,1.0,1.0,0.7556,0.01674634288434345,0.38011949625145136,0.014019846815527683,0.85205,0.009020362766787427,0.7556,0.01674634288434345,0.051500000000000004,0.002305789814069493,0.6810044369743651,0.014339208724829813
15,0.09999999999999998,1.5,0.5,0.9793,0.004980963762164913,0.321117547134829,0.010128630756463761,0.9639,0.002978814081699847,0.9793,0.004980963762164913,0.051500000000000004,0.002305789814069493,0.8018394539828145,0.007785597415046838
15,0.09999999999999998,1.5,1.0,0.9793,0.004980963762164913,0.321117547134829,0.010128630756463761,0.9639,0.002978814081699847,0.9793,0.004980963762164913,0.051500000000000004,0.002305789814069493,0.8018394539828145,0.007785597415046838
15,0.25,0.5,0.5,0.26332,0.006783627348255512,0.3571012292931884,0.010283476178094426,0.60728,0.0034552118442852443,0.26332,0.006783627348255512,0.048760000000000005,0.0018667142851069194,0.3735763302427354,0.007837988506855909
15,0.25,0.5,1.0,0.26332,0.006783627348255512,0.3571012292931884,0.010283476178094426,0.60728,0.0034552118442852443,0.26332,0.006783627348255512,0.048760000000000005,0.0018667142851069194,0.3735763302427354,0.007837988506855909
15,0.25,1.0,0.5,0.7515200000000001,0.00973702213204839,0.16288939893491552,0.004331805027947759,0.8513800000000001,0.004337951385414821,0.7515200000000001,0.00973702213204839,0.048760000000000005,0.0018667142851069194,0.7919617928263397,0.005065577628838478
15,0.25,1.0,1.0,0.7515200000000001,0.00973702213204839,0.16288939893491552,0.004331805027947759,0.8513800000000001,0.004337951385414821,0.7515200000000001,0.00973702213204839,0.048760000000000005,0.0018667142851069194,0.7919617928263397,0.005065577628838478
15,0.25,1.5,0.5,0.9778800000000001,0.004051863768687188,0.1300978354902782,0.004143362441954455,0.9645600000000002,0.0018027633110188532,0.9778800000000001,0.004051863768687188,0.048760000000000005,0.0018667142851069194,0.920723698521484,0.002364241054542031
15,0.25,1.5,1.0,0.9778800000000001,0.004051863768687188,0.1300978354902782,0.004143362441954455,0.9645600000000002,0.0018027633110188532,0.9778800000000001,0.004051863768687188,0.048760000000000005,0.0018667142851069194,0.920723698521484,0.002364241054542031
15,0.5,0.5,0.5,0.2643,0.005164687793081009,0.1587529637264646,0.005603197955123311,0.6072,0.0021142374511865913,0.2643,0.005164687793081009,0.049899999999999986,0.0025111750237687574,0.4021934388258054,0.005866480953759243
15,0.5,0.5,1.0,0.2643,0.005164687793081009,0.1587529637264646,0.005603197955123311,0.6072,0.0021142374511865913,0.2643,0.005164687793081009,0.049899999999999986,0.0025111750237687574,0.4021934388258054,0.005866480953759243
15,0.5,1.0,0.5,0.7537999999999999,0.005084092839435577,0.06208715320954937,0.0030786894963150927,0.8519500000000001,0.0031975772078247,0.7537999999999999,0.005084092839435577,0.049899999999999986,0.0025111750237687574,0.835830227615291,0.003847067958316656
15,0.5,1.0,1.0,0.7537999999999999,0.005084092839435577,0.06208715320954937,0.0030786894963150927,0.8519500000000001,0.0031975772078247,0.7537999999999999,0.005084092839435577,0.049899999999999986,0.0025111750237687574,0.835830227615291,0.003847067958316656
15,0.5,1.5,0.5,0.9769399999999999,0.002475560542584255,0.0485927809607716,0.0023837330884515675,0.9635199999999999,0.002137194422601739,0.9769399999999999,0.002475560542584255,0.049899999999999986,0.0025111750237687574,0.9640030635882594,0.0021085691704993367
15,0.5,1.5,1.0,0.9769399999999999,0.002475560542584255,0.0485927809607716,0.0023837330884515675,0.9635199999999999,0.002137194422601739,0.9769399999999999,0.002475560542584255,0.049899999999999986,0.0025111750237687574,0.9640030635882594,0.0021085691704993367
30,0.09999999999999998,0.5,0.5,0.4779999999999999,0.011410521460476724,0.486938407002821,0.013047387710118544,0.7137888888888889,0.0062249894640200405,0.4779999999999999,0.011410521460476724,0.050422222222222216,0.0017831862175386498,0.4948832630497515,0.011621596255711391
30,0.09999999999999998,0.5,1.0,0.4779999999999999,0.011410521460476724,0.486938407002821,0.013047387710118544,0.7137888888888889,0.0062249894640200405,0.4779999999999999,0.011410521460476724,0.050422222222222216,0.0017831862175386498,0.4948832630497515,0.011621596255711391
30,0.09999999999999998,1.0,0.5,0.9692000000000001,0.005582114294781151,0.3188257421926183,0.008072076446850002,0.959388888888889,0.003120620387829715,0.9692000000000001,0.005582114294781151,0.050422222222222216,0.0017831862175386498,0.8000301324717396,0.0065293474115885805
30,0.09999999999999998,1.0,1.0,0.9692000000000001,0.005582114294781151,0.3188257421926183,0.008072076446850002,0.959388888888889,0.003120620387829715,0.9692000000000001,0.005582114294781151,0.050422222222222216,0.0017831862175386498,0.8000301324717396,0.0065293474115885805
30,0.09999999999999998,1.5,0.5,1.0,0.0,0.3120635289656312,0.007604973430192938,0.9747888888888889,0.0008915931087693307,1.0,0.0,0.050422222222222216,0.0017831862175386498,0.8150972456015774,0.00533522305204516
30,0.09999999999999998,1.5,1.0,1.0,0.0,0.3120635289656312,0.007604973430192938,0.9747888888888889,0.0008915931087693307,1.0,0.0,0.050422222222222216,0.0017831862175386498,0.8150972456015774,0.00533522305204516
30,0.25,0.5,0.5,0.48212,0.007667176794622655,0.23676864251555907,0.0055027327047218735,0.7161266666666666,0.0034721047091225902,0.48212,0.007667176794622655,0.049866666666666656,0.0017638342073763842,0.5909034690924416,0.0059023031242388035
30,0.25,0.5,1.0,0.48212,0.007667176794622655,0.23676864251555907,0.0055027327047218735,0.7161266666666666,0.0034721047091225902,0.48212,0.007667176794622655,0.049866666666666656,0.0017638342073763842,0.5909034690924416,0.0059023031242388035
30,0.25,1.0,0.5,0.96844,0.004215969639359379,0.13379321671578984,0.004313761358505839,0.9592866666666666,0.002583030089728829,0.96844,0.004215969639359379,0.049866666666666656,0.0017638342073763842,0.9144698263976684,0.0037044885058741626
30,0.25,1.0,1.0,0.96844,0.004215969639359379,0.13379321671578984,0.004313761358505839,0.9592866666666666,0.002583030089728829,0.96844,0.004215969639359379,0.049866666666666656,0.0017638342073763842,0.9144698263976684,0.0037044885058741626
30,0.25,1.5,0.5,0.9999600000000001,0.00011999999999998679,0.1301184421705065,0.003997972667743901,0.9750466666666668,0.0008974284248772922,0.9999600000000001,0.00011999999999998679,0.049866666666666656,0.0017638342073763842,0.9303913852579664,0.0023017834872531497
30,0.25,1.5,1.0,0.9999600000000001,0.00011999999999998679,0.1301184421705065,0.003997972667743901,0.9750466666666668,0.0008974284248772922,0.9999600000000001,0.00011999999999998679,0.049866666666666656,0.0017638342073763842,0.9303913852579664,0.0023017834872531497
30,0.5,0.5,0.5,0.48231999999999997,0.006139837131390384,0.09338360649028331,0.004905723988354223,0.71632,0.0036090996107062553,0.48231999999999997,0.006139837131390384,0.049680000000000016,0.002671628716719459,0.6296415991146703,0.005841968438141816
30,0.5,0.5,1.0,0.48231999999999997,0.006139837131390384,0.09338360649028331,0.004905723988354223,0.71632,0.0036090996107062553,0.48231999999999997,0.006139837131390384,0.049680000000000016,0.002671628716719459,0.6296415991146703,0.005841968438141816
